Number,Name,Games,K,HB,D,CP,M,I50,R50,1%,T,Cl,G,RP
6,Tom Evans,14,21.2,10.4,31.6,10.6,7.0,4.3,4.2,1.7,4.5,3.7,0.6,131.4
37,Jack Evans,20,18.2,9.6,27.8,9.1,5.5,5.0,3.1,1.1,2.4,2.6,0.5,109.4
18,Mitchell Wales,18,13.8,8.5,22.3,9.3,4.1,5.5,0.9,1.4,5.1,6.0,0.7,97.9
1,Cody Walker,2,13.5,9.5,23.0,15.5,4.0,5.0,1.0,1.0,6.5,5.0,0.5,111.0
25,Jack McHale,6,13.0,12.0,25.0,13.2,4.8,5.2,1.0,3.5,6.2,6.2,0.7,121.2
55,Curtis Townrow,18,12.9,2.3,15.3,4.4,5.5,1.7,4.9,4.0,0.7,0.1,0.3,83.1
21,Jesse Tuohey,19,12.5,8.5,21.1,4.4,6.3,2.9,1.6,0.9,2.8,0.8,0.5,79.5
14,Aiden Mills,21,12.1,2.7,14.9,3.9,5.1,0.9,3.4,4.4,2.0,0.4,0.3,75.5
5,Malik Gordon,17,11.9,4.0,15.9,7.4,7.2,3.2,0.6,2.4,2.8,1.1,2.1,95.5
39,Baxter Slater,11,11.7,10.5,22.3,10.0,5.6,4.5,1.0,1.1,3.0,2.8,0.9,99.3
10,Jackson Stewart,21,11.4,12.6,24.0,11.4,2.9,3.4,0.9,1.8,5.9,6.0,0.4,100.3
15,Lachlan Hogan,19,11.2,10.1,21.3,9.3,4.4,3.5,1.1,1.3,3.4,2.2,0.5,86.8
4,Samuel Reid,11,11.0,12.7,23.7,12.8,3.1,3.4,0.6,1.5,4.6,6.2,1.2,103.5
9,Hugh Byrne,9,10.4,6.9,17.3,8.9,7.3,3.1,1.1,2.7,2.0,2.1,2.0,114.4
52,William Monahan,16,9.6,5.9,15.4,5.5,4.6,1.7,1.4,1.6,2.4,1.7,0.4,68.4
30,Liam Tenace,13,9.4,5.9,15.3,9.8,6.5,1.6,0.8,1.5,1.9,3.2,1.2,110.1
7,Cameron Valentine,3,9.3,3.7,13.0,3.7,7.0,0.7,2.3,4.3,1.7,0.3,0.0,81.0
31,Sam Edgar,18,9.1,5.4,14.5,6.2,3.8,2.7,0.9,1.6,2.4,1.4,0.6,64.4
20,Cooper Barber,7,9.0,6.0,15.0,6.1,4.4,2.1,0.3,1.0,3.1,2.4,1.3,75.3
35,Solly Fleming,1,9.0,1.0,10.0,1.0,5.0,1.0,2.0,1.0,1.0,0.0,0.0,42.0
11,Angus Byrne,5,9.0,3.0,12.0,7.4,6.6,2.4,0.0,1.0,1.2,0.0,1.8,71.6
38,William Deutsher,20,8.9,7.0,15.9,7.0,3.7,1.9,1.5,2.1,4.8,1.6,0.3,79.4
27,Mitchell Bell,15,8.5,5.1,13.6,5.3,3.8,1.9,1.3,1.5,1.5,0.6,0.7,59.2
23,Makai Cronin,13,8.5,3.5,12.0,4.7,3.2,3.3,0.2,1.2,2.4,0.4,0.9,58.5
22,Darby Jones,19,8.4,4.7,13.1,7.9,4.7,1.4,1.0,1.8,2.6,2.4,1.7,94.4
26,Echuca 26,7,8.1,3.1,11.3,4.7,3.6,1.4,1.3,1.7,3.0,0.4,0.0,57.0
17,Harrison Milburn,21,8.0,6.1,14.2,5.6,3.9,1.0,1.8,2.5,3.6,0.8,0.0,68.0
29,Jessie Johnstone,7,8.0,3.1,11.1,3.6,3.3,3.1,0.4,1.9,2.1,0.9,0.4,51.0
3,Liam Gronow,18,7.6,4.0,11.6,4.7,2.7,2.2,0.2,1.8,2.1,0.6,1.5,54.3
24,Echuca 24,4,7.5,4.8,12.2,4.5,4.0,1.0,1.5,3.8,1.8,0.0,0.2,59.2
39,Baxter Cowley,2,7.5,3.5,11.0,3.5,3.5,2.5,1.0,2.5,1.5,0.5,0.5,41.5
48,Luke Edwards,17,7.4,3.6,11.0,4.5,4.5,1.1,1.7,3.8,2.1,1.0,0.6,67.9
2,Hudson Kellett,15,7.3,8.7,16.0,8.2,2.7,2.5,1.2,1.3,4.1,3.6,0.3,74.3
32,Jai Milligan,4,6.8,5.8,12.5,6.2,2.5,1.2,1.0,3.5,2.5,0.5,0.0,63.2
