Opponent,Round,Result,D,K,HB,CP,TGB,HBG,LBG,IP,GTH,HR,M,CM,UM,IM,MI50,RP,HO,HOA,Cl,CC,BUC,TIC,I50,R50,FF,KI,1%,TO,BTO,MTO,FTO,PR,PRA,Ch,Sm,Sp,PRF,T,TE,FTKL,MTKL,BTKL,G,B,RB,SE%,SS,GA%,DE%,I50%,K%,H%,C%,R50%,KI%,KE,HE,ED,EFFC,EFFR
Tatura,01,W,302,201,101,98,58,29,29,50,30,3,118,12,106,20,8,1429,57,8,31,8,11,12,20,48,14,19,42,63,6,47,10,111,44,14,3,21,2,50,29,1,27,22,7,0,0,35,7,100,75,60,72,81,58,46,63,144,82,226,18,22
Benalla,02,W,285,180,105,143,85,31,54,69,34,5,68,18,50,10,6,1267,72,14,45,8,15,22,28,43,29,17,51,87,7,66,14,121,53,7,5,28,2,56,41,2,40,14,6,4,0,35,10,60,56,50,52,63,44,51,71,94,67,161,20,22
Rochester,03,W,343,200,143,139,103,50,53,79,49,10,69,9,60,15,6,1570,56,10,41,8,21,12,50,46,22,14,56,88,9,51,28,146,49,10,5,28,11,82,64,14,49,19,8,5,3,32,16,50,64,40,56,74,71,54,86,113,107,220,29,25
Kyabram,04,W,323,212,111,162,99,48,51,77,50,1,86,15,71,18,12,1515,72,13,44,10,19,15,47,34,18,11,40,80,7,47,26,96,31,6,5,24,6,54,41,10,36,8,11,4,4,40,19,57,60,53,56,67,55,50,82,119,75,194,24,17
Mooroopna,05,W,333,194,139,131,70,26,44,62,47,8,83,18,65,19,10,1531,64,16,59,10,29,20,33,53,15,21,34,77,8,53,16,135,62,8,4,17,6,61,49,7,30,24,8,9,0,51,17,47,62,45,51,79,59,45,67,98,110,208,35,24
Shepparton United,06,W,344,234,110,133,79,29,50,65,36,2,126,20,106,19,14,1585,44,6,40,6,22,12,42,27,18,7,28,64,5,43,16,88,18,4,6,15,1,60,39,1,36,23,8,7,5,47,20,40,68,45,62,82,53,56,71,144,91,235,21,15
Seymour,07,L,362,225,137,171,111,29,82,88,43,11,80,7,73,18,11,1615,63,10,50,11,22,17,64,34,27,10,31,89,4,52,33,120,62,5,5,14,9,48,37,8,33,7,13,8,6,42,27,48,67,56,58,81,50,41,70,131,112,243,25,14
Shepparton Bears,08,W,330,210,120,150,84,29,55,71,57,10,82,17,65,12,8,1458,73,15,45,13,20,12,38,37,27,14,40,78,4,52,22,106,39,8,8,14,4,51,40,8,33,10,10,7,3,52,20,50,58,26,51,70,62,54,71,107,84,191,28,20
Euroa,09,W,292,175,117,114,69,31,38,66,31,12,79,8,71,21,4,1269,40,9,39,17,16,6,34,52,28,17,41,91,8,59,24,136,66,19,2,12,10,49,32,4,31,14,6,1,3,29,10,60,60,29,53,70,64,50,59,92,83,175,25,26
Shepparton Swans,10,W,335,202,133,132,92,42,50,74,40,8,87,7,80,10,3,1443,35,8,37,11,16,10,33,39,21,10,44,75,5,55,15,130,59,13,3,16,12,55,37,10,37,8,7,7,1,45,15,46,65,36,60,71,59,74,80,122,95,217,22,29
Mansfield,11,W,308,197,111,154,103,38,65,81,29,4,57,15,42,19,8,1467,77,21,55,14,23,18,51,41,25,20,34,88,9,48,31,128,39,6,6,15,12,77,64,16,42,19,8,9,1,35,18,44,53,33,41,73,64,46,75,81,82,163,35,19
Benalla,12,W,345,227,118,129,75,25,50,75,39,6,128,18,110,24,11,1547,52,7,34,10,11,13,38,44,30,9,40,75,6,49,20,90,44,10,4,18,5,32,24,6,22,4,9,6,4,50,19,47,67,47,64,72,76,68,89,146,86,232,26,30
Tatura,13,W,348,239,109,131,70,20,50,64,37,5,130,14,116,19,3,1531,61,12,41,6,22,13,29,42,20,16,26,70,2,51,17,108,44,8,2,10,7,54,44,7,31,16,1,4,2,24,7,14,67,45,64,73,44,57,94,152,80,232,18,24
Rochester,14,W,376,215,161,163,107,46,61,78,45,14,93,12,81,18,12,1595,57,12,51,11,23,17,51,32,16,9,43,89,4,54,31,100,25,10,8,18,6,57,46,8,36,13,5,14,4,45,23,21,64,49,53,77,65,63,78,115,125,240,33,20
Kyabram,15,L,340,220,120,129,77,11,66,89,51,4,108,12,96,29,13,1623,61,11,48,10,22,16,46,38,18,7,29,75,4,54,17,111,42,13,4,6,8,52,32,5,38,9,14,5,5,52,24,58,65,54,60,72,56,50,43,133,87,220,27,19
Seymour,16,W,343,231,112,143,88,20,68,74,35,4,121,18,103,21,15,1657,47,6,40,14,12,14,40,48,17,12,43,79,7,53,19,112,40,8,4,14,4,60,46,13,33,14,12,8,2,55,22,54,68,45,64,75,63,67,92,147,85,232,25,32
Shepparton United,17,W,301,183,118,109,73,22,51,70,40,7,80,6,74,17,10,1417,82,18,37,13,15,9,38,33,15,9,42,66,9,40,17,114,41,15,0,24,4,58,43,7,35,16,10,8,3,55,21,47,63,45,57,71,62,48,89,105,84,189,23,16
Mooroopna,18,W,331,195,136,122,74,30,44,61,53,7,71,7,64,11,10,1380,42,13,45,13,16,16,40,43,18,12,43,75,5,53,17,113,46,14,5,20,8,48,30,5,35,8,6,10,2,45,18,33,68,58,55,86,73,65,67,108,118,226,33,28
