Opponent,Round,Result,D,K,HB,CP,TGB,HBG,LBG,IP,GTH,HR,M,CM,UM,IM,MI50,RP,HO,HOA,Cl,CC,BUC,TIC,I50,R50,FF,KI,1%,TO,BTO,MTO,FTO,PR,PRA,Ch,Sm,Sp,PRF,T,TE,FTKL,MTKL,BTKL,G,B,RB,SE%,SS,GA%,DE%,I50%,K%,H%,C%,R50%,KI%,KE,HE,ED,EFFC,EFFR
Tatura,01,W,73,18,55,54,38,5,33,9,12,2,-36,1,-37,-10,14,384,-13,8,19,10,10,-1,52,-37,5,-19,-2,-10,-6,-28,24,18,9,5,1,-9,14,3,11,9,9,-15,16,17,2,23,35,-46,2,5,-4,7,16,18,-63,6,56,62,19,-15
Benalla,02,W,112,86,26,6,7,-1,8,10,14,1,62,-6,68,3,15,544,-38,-7,1,-1,7,-5,28,-20,-4,-13,-4,-14,-6,-20,12,7,-19,3,7,-14,14,16,13,8,19,-11,4,11,2,13,17,-23,18,11,19,15,19,27,29,95,36,131,9,-4
Rochester,03,W,18,17,1,21,15,4,11,1,7,-6,3,1,2,-1,6,203,1,8,9,3,5,1,8,-2,-5,-6,10,-3,2,-2,-3,33,15,5,-1,3,4,14,6,7,7,0,4,6,0,12,10,-4,-1,5,0,0,-9,-4,-23,8,0,8,2,-3
Kyabram,04,W,-4,6,-10,0,0,-8,8,0,-4,0,-7,2,-9,-3,-3,-12,-25,-2,1,0,4,-3,-1,2,2,-3,6,3,-1,4,0,23,7,7,1,1,5,8,10,2,5,1,1,7,-4,10,4,-5,-5,-10,-6,1,-4,6,6,-11,-6,-17,-1,3
Mooroopna,05,W,13,23,-10,31,29,0,29,11,-5,3,3,4,-1,-2,6,198,-3,-3,-12,1,-3,-10,33,-30,1,-14,2,-13,-5,-23,15,40,35,1,3,-7,17,1,-1,6,10,-15,5,12,1,2,18,-10,6,10,9,3,7,38,19,33,-4,29,-4,-5
Shepparton United,06,W,2,-17,19,-3,0,-1,1,-9,10,10,-24,-7,-17,-3,-3,65,20,6,9,2,3,4,0,7,-3,5,7,2,-4,1,5,30,7,2,4,1,1,17,12,13,20,-16,7,-1,-4,5,2,28,0,10,3,-7,2,-9,4,-4,6,2,6,1
Seymour,07,L,3,-1,4,6,4,4,0,-3,7,-4,-2,2,-4,2,-1,-47,-35,-4,-12,-1,-5,-6,-22,12,-5,4,15,4,8,6,-10,14,-16,8,7,3,-2,15,4,2,6,7,-5,2,-6,0,-9,-4,4,11,6,-1,26,31,16,13,2,15,4,19
Shepparton Bears,08,W,0,-17,17,0,8,8,0,1,-2,-4,-14,-2,-12,1,1,-54,-39,-11,-4,-6,-1,3,10,-8,-9,-4,2,-6,5,-14,3,3,4,2,-6,12,2,3,1,1,4,-2,1,5,-1,0,5,-6,3,12,-1,5,-6,5,-1,-11,20,9,-5,-3
Euroa,09,W,138,81,57,22,30,13,17,22,21,-1,47,5,42,-5,20,721,7,3,-3,-8,-3,8,35,-25,-14,-14,13,-22,-5,-32,15,-18,-24,-8,2,17,1,12,19,9,10,-7,12,16,-3,21,25,-9,14,28,12,17,5,13,8,74,69,143,0,-9
Shepparton Swans,10,W,104,58,46,38,23,-4,27,-3,-9,5,59,24,35,12,21,607,29,4,4,2,2,0,25,-13,-13,-2,-2,0,-2,-14,16,-5,-17,4,6,-6,-3,2,8,0,6,-4,12,2,0,5,14,19,12,16,12,13,-3,-16,8,66,57,123,1,-14
