Opponent,Round,Result,D,K,HB,CP,TGB,HBG,LBG,IP,GTH,HR,M,CM,UM,IM,MI50,RP,HO,HOA,Cl,CC,BUC,TIC,I50,R50,FF,KI,1%,TO,BTO,MTO,FTO,PR,PRA,Ch,Sm,Sp,PRF,T,TE,FTKL,MTKL,BTKL,G,B,RB,SE%,SS,GA%,DE%,I50%,K%,H%,C%,R50%,KI%,KE,HE,ED,EFFC,EFFR
Tatura,01,W,375,219,156,152,96,34,62,59,42,5,82,13,69,10,22,1813,44,16,50,18,21,11,72,11,19,0,40,53,0,19,34,129,53,19,4,12,16,53,40,10,36,7,23,17,2,58,42,54,77,65,68,88,74,64,0,150,138,288,37,7
Benalla,02,W,397,266,131,149,92,30,62,79,48,6,130,12,118,13,21,1811,34,7,46,7,22,17,56,23,25,4,47,73,1,46,26,128,34,10,12,14,16,72,54,10,59,3,10,15,2,48,27,37,74,61,71,78,63,78,100,189,103,292,29,18
Rochester,03,W,361,217,144,160,118,54,64,80,56,4,72,10,62,14,12,1773,57,18,50,11,26,13,58,44,17,8,66,85,11,49,25,179,64,15,4,31,15,96,70,21,56,19,12,11,3,44,26,46,63,45,56,74,62,50,63,121,107,228,31,22
Kyabram,04,W,319,218,101,162,99,40,59,77,46,1,79,17,62,15,9,1503,47,11,45,10,23,12,46,36,20,8,46,83,6,51,26,119,38,13,6,25,11,62,51,12,41,9,12,11,0,50,23,52,55,43,50,68,51,56,88,108,69,177,23,20
Mooroopna,05,W,346,217,129,162,99,26,73,73,42,11,86,22,64,17,16,1729,61,13,47,11,26,10,66,23,16,7,36,64,3,30,31,175,97,9,7,10,23,62,48,13,40,9,13,21,1,53,35,37,68,55,60,82,66,83,86,131,106,237,31,19
Shepparton United,06,W,346,217,129,130,79,28,51,56,46,12,102,13,89,16,11,1650,64,12,49,8,25,16,42,34,15,12,35,66,1,44,21,118,25,6,10,16,2,77,51,14,56,7,15,6,1,52,22,68,68,55,65,75,55,47,75,140,97,237,27,16
Seymour,07,L,365,224,141,177,115,33,82,85,50,7,78,9,69,20,10,1568,28,6,38,10,17,11,42,46,22,14,46,93,12,58,23,134,46,13,12,17,7,63,41,10,39,14,8,10,0,42,18,44,71,67,64,80,76,72,86,144,114,258,29,33
Shepparton Bears,08,W,330,193,137,150,92,37,55,72,55,6,68,15,53,13,9,1404,34,4,41,7,19,15,48,29,18,10,42,72,9,38,25,109,43,10,2,26,6,54,41,9,37,8,11,12,2,52,25,44,61,38,50,75,56,59,70,96,104,200,23,17
Euroa,09,W,430,256,174,136,99,44,55,88,52,11,126,13,113,16,24,1990,47,12,36,9,13,14,69,27,14,3,54,69,3,27,39,118,42,11,4,29,11,61,51,13,41,7,18,17,0,50,35,51,74,57,65,87,69,63,67,166,152,318,25,17
Shepparton Swans,10,W,439,260,179,170,115,38,77,71,31,13,146,31,115,22,24,2050,64,12,41,13,18,10,58,26,8,8,42,75,3,41,31,125,42,17,9,10,9,57,45,10,43,4,19,9,1,50,29,65,77,52,72,84,56,58,88,188,152,340,23,15
Mansfield,11,W,380,237,143,175,126,50,76,81,45,10,94,12,82,16,11,1747,45,13,52,5,23,24,53,45,15,10,40,84,6,50,28,129,49,6,6,19,13,68,59,13,41,14,10,19,1,56,30,33,63,51,56,75,62,53,50,133,108,241,32,24
Benalla,12,W,360,218,142,130,83,29,54,73,46,13,94,11,83,10,12,1484,24,4,35,9,16,10,56,29,25,10,42,76,5,39,32,108,44,10,4,22,6,50,38,10,31,9,11,9,0,35,20,55,69,43,60,81,69,76,100,131,116,247,24,22
Tatura,13,W,409,247,162,172,103,27,76,65,49,8,123,24,99,14,20,2015,43,14,49,15,23,11,62,26,13,6,40,67,2,44,21,124,40,3,7,15,7,74,68,17,37,20,19,14,2,56,35,54,74,58,70,80,69,73,83,172,131,303,34,19
Rochester,14,W,364,244,120,152,93,32,61,85,47,5,111,14,97,21,12,1744,41,6,37,5,23,9,46,45,22,17,50,80,6,50,24,148,49,8,5,22,7,86,57,10,59,17,11,6,4,45,21,52,66,54,62,73,65,58,94,152,88,240,24,26
Kyabram,15,L,346,191,155,150,115,25,90,71,40,10,70,10,60,14,12,1452,35,9,41,14,12,15,51,32,15,10,47,89,5,54,30,127,39,15,4,22,10,69,50,10,51,8,11,8,0,37,19,57,65,41,55,76,71,53,60,105,119,224,29,17
Seymour,16,W,338,218,120,141,94,28,66,71,39,9,87,9,78,12,9,1564,29,4,42,13,18,11,60,30,16,10,58,77,4,41,32,123,56,6,2,31,11,59,49,12,37,10,12,13,0,41,25,48,66,40,57,82,52,60,70,125,99,224,22,18
Shepparton United,17,W,413,235,178,145,101,24,77,63,53,7,92,10,82,10,26,1936,40,9,59,20,25,14,62,30,16,11,44,75,8,37,30,122,46,9,3,24,7,64,54,10,37,17,27,6,3,58,36,75,73,61,66,83,78,73,73,154,149,303,46,22
Mooroopna,18,W,354,240,114,130,71,30,41,72,38,13,139,27,112,20,28,1745,35,6,29,5,13,11,54,32,16,12,23,63,0,36,27,117,45,10,5,7,5,57,43,5,35,17,12,11,1,44,24,50,75,70,74,78,69,78,92,177,90,267,20,25
Shepparton Bears,FW1,W,398,252,146,179,124,39,85,92,40,5,99,15,84,20,7,1934,37,6,45,12,21,12,57,45,21,7,84,98,5,61,32,174,62,12,7,29,7,93,75,15,59,19,16,3,4,40,23,69,64,46,56,78,56,49,86,141,115,256,25,22
Kyabram,FW2,W,375,232,143,146,101,38,63,70,43,9,111,17,94,21,15,1818,45,6,35,10,16,9,56,42,14,10,27,64,4,39,21,106,31,13,5,7,7,57,50,9,36,12,19,12,1,57,32,59,73,63,69,80,63,79,100,160,115,275,22,33
Shepparton Bears,GF,W,376,227,149,143,89,31,58,76,62,9,97,19,78,22,23,1800,34,5,49,14,22,13,53,43,12,12,44,76,4,54,18,105,33,11,8,20,2,53,39,9,30,14,21,15,0,67,36,58,70,75,65,77,65,79,92,148,115,263,32,34
