Stat Type,For,Against,Differential
Back Turnovers,4.7,5.8,-1.1
Ball Up Clearances,20.1,18.3,1.8
Behinds,11.7,6.6,5.1
Centre Clearances,10.8,11.1,-0.3
Chases,10.8,9.3,1.5
Clearances,43.6,43.1,0.5
Effective Clearances,28.0,25.5,2.5
Clearance %,64.0,59.0,5.0
Contested Possessions,152.9,137.5,15.4
Contested Marks,15.4,13.0,2.4
Disposals,372.4,330.7,41.7
Effective Disposals,258.0,211.3,46.7
Total Disposal %,69.0,63.0,6.0
Forward Turnovers,27.4,22.8,4.6
Frees For,17.1,20.4,-3.3
Gathers,46.2,42.4,3.8
Goals,14.8,8.4,6.4
Goal Accuracy,53.0,47.0,6.0
Total Groundball Gets,100.2,85.4,14.8
Handball Receives,8.3,7.0,1.3
Handballs,142.5,122.3,20.2
Effective Handballs,113.7,92.5,21.2
Handball %,79.0,75.0,4.0
Hard Ball Gets,34.1,30.5,3.6
Hit Outs,42.3,59.1,-16.8
Hit Outs to Advantage,9.2,12.3,-3.1
Inside 50s,55.6,42.0,13.6
Inside 50s Effective,30.2,18.7,11.5
Fwd 50 Entry %,54.0,45.0,9.0
Intercept Marks,16.0,17.6,-1.6
Kicks,229.9,208.4,21.5
Effective Kicks,144.3,118.8,25.5
Kick Ins,9.0,12.8,-3.8
KickIns Effective,7.3,9.6,-2.3
Kick In %,81.0,75.0,6.0
Kick %,62.0,57.0,5.0
Loose Ball Gets,66.0,54.9,11.1
Marks,99.3,91.0,8.3
Marks Inside 50,15.9,9.3,6.6
Uncontested Marks,84.0,78.0,6.0
Midfield Turnovers,43.2,51.0,-7.8
1%ers,45.4,41.0,4.4
Intercept Possessions,74.2,72.1,2.1
Pressure Acts,46.6,46.1,0.5
Pressure Acts Forward,9.4,7.0,2.4
Overall Pressure,129.4,105.8,23.6
Ranking Points,"1,739.5","1,502.1",237.4
Rebound 50s,33.2,40.3,-7.1
Effective Rebound 50s,21.2,22.1,-0.9
Def 50 Exit %,63.0,55.0,8.0
Rushed Behinds,1.3,2.7,-1.4
Back Turnovers,0.9,1.5,-0.6
Behinds From Back Turnovers,1.3,1.5,-0.2
Ball Ups,2.1,1.3,0.8
Behinds From Ball Ups,2.0,1.5,0.5
Center Bounces,1.2,0.5,0.7
Behinds From Center Bounces,1.0,0.6,0.4
Deep Inside50s,3.8,2.3,1.5
Behinds From Deep Inside50s,2.9,2.8,0.1
F50 Turnovers,2.0,0.5,1.5
Behinds From F50 Turnovers,1.7,0.7,1.0
Scores From Inside50s,14.4,8.0,6.4
Behinds From Inside50s,12.7,9.0,3.7
Scores From Kick Ins,0.4,0.2,0.2
Behinds From Kick Ins,0.3,0.4,-0.1
Marks Inside 50,6.6,4.0,2.6
Marks Inside50 Deep,2.8,1.5,1.3
Behinds From Marks Inside50 Deep,0.8,0.4,0.4
Marks Inside50 Shallow,3.8,2.4,1.4
Marks Inside50 Shallow,3.6,1.7,1.9
Behinds From Marks Inside 50,4.4,2.1,2.3
Mid Turnovers,6.6,3.3,3.3
Behinds From Mid Turnovers,5.4,3.6,1.8
Shallow Inside50s,10.7,5.7,5.0
Behinds From Shallow Inside50s,9.8,6.2,3.6
Scores From Stoppages,4.9,2.8,2.1
Behinds From Stoppages,4.3,3.0,1.3
Throw Ins,1.6,1.0,0.6
Behinds From Throw Ins,1.2,1.0,0.2
Turnovers,9.5,5.4,4.1
Behinds From Turnovers,8.3,5.7,2.6
Scoring Efficiency,49.0,41.0,8.0
Scoring Shots,27.8,17.6,10.2
Smothers,6.0,4.4,1.6
Spoils,19.4,19.0,0.4
Tackles,66.0,56.6,9.4
Back 50 Tackles,11.6,13.4,-1.8
Tackles Eff,51.1,42.0,9.1
Forward 50 Tackles,11.5,8.0,3.5
Midfield Tackles,42.9,35.3,7.6
Throw In Clearances,12.8,13.8,-1.0
Turnovers,75.3,79.5,-4.2
