Round,Date,HomeTeam,HomeScore,HomeGB,AwayTeam,AwayScore,AwayGB
1,04/04/2026,ECHUCA,157,23.19,TATURA,42,7.0
1,03/04/2026,KYABRAM,90,13.12,ROCHESTER,62,8.14
1,03/04/2026,SHEPPARTON BEARS,98,15.8,SHEPPARTON UNITED,34,5.4
1,04/04/2026,MANSFIELD,106,15.16,EUROA,26,4.2
1,04/04/2026,MOOROOPNA,62,8.14,SHEPPARTON SWANS,83,12.11
1,04/04/2026,BENALLA,56,8.8,SEYMOUR,109,16.13
2,11/04/2026,ECHUCA,77,10.17,BENALLA,40,6.4
2,11/04/2026,EUROA,49,7.7,SHEPPARTON UNITED,77,11.11
2,11/04/2026,ROCHESTER,42,5.12,MANSFIELD,134,19.20
2,11/04/2026,SHEPPARTON SWANS,97,15.7,KYABRAM,73,10.13
2,11/04/2026,SHEPPARTON BEARS,92,13.14,SEYMOUR,52,7.10
2,11/04/2026,TATURA,54,8.6,MOOROOPNA,124,18.16
3,18/04/2026,BENALLA,57,8.9,EUROA,32,4.8
3,18/04/2026,MANSFIELD,62,9.8,SEYMOUR,81,12.9
3,18/04/2026,MOOROOPNA,47,7.5,SHEPPARTON BEARS,64,8.16
3,18/04/2026,ROCHESTER,56,8.8,ECHUCA,86,12.14
3,18/04/2026,SHEPPARTON UNITED,59,8.11,SHEPPARTON SWANS,48,6.12
3,18/04/2026,TATURA,16,2.4,KYABRAM,176,26.20
4,25/04/2026,KYABRAM,74,11.8,ECHUCA,83,12.11
4,25/04/2026,MANSFIELD,48,6.12,BENALLA,64,9.10
4,25/04/2026,MOOROOPNA,65,10.5,SHEPPARTON UNITED,58,8.10
4,25/04/2026,ROCHESTER,122,18.14,TATURA,25,3.7
4,25/04/2026,SEYMOUR,135,21.9,EUROA,86,12.14
4,25/04/2026,SHEPPARTON BEARS,133,20.13,SHEPPARTON SWANS,47,6.11
5,02/05/2026,BENALLA,66,9.12,SHEPPARTON SWANS,69,10.9
5,02/05/2026,MOOROOPNA,57,8.9,ECHUCA,100,13.22
5,02/05/2026,KYABRAM,166,25.16,EUROA,40,6.4
5,02/05/2026,ROCHESTER,53,8.5,SHEPPARTON BEARS,106,15.16
5,02/05/2026,SEYMOUR,157,24.13,TATURA,26,4.2
5,02/05/2026,SHEPPARTON UNITED,79,11.13,MANSFIELD,116,17.14
6,09/05/2026,ECHUCA,97,15.7,SHEPPARTON UNITED,60,8.12
6,09/05/2026,EUROA,59,9.5,ROCHESTER,83,12.11
6,09/05/2026,MANSFIELD,139,21.13,MOOROOPNA,61,8.13
6,09/05/2026,SHEPPARTON SWANS,74,11.8,SEYMOUR,66,9.12
6,09/05/2026,SHEPPARTON BEARS,126,19.12,KYABRAM,60,8.12
6,09/05/2026,TATURA,73,10.13,BENALLA,105,16.9
7,16/05/2026,BENALLA,33,4.9,SHEPPARTON BEARS,125,18.17
7,16/05/2026,EUROA,63,9.9,MOOROOPNA,59,8.11
7,16/05/2026,KYABRAM,150,23.12,MANSFIELD,50,8.2
7,16/05/2026,ROCHESTER,54,8.6,SHEPPARTON SWANS,69,10.9
7,16/05/2026,SEYMOUR,92,13.14,ECHUCA,58,8.10
7,16/05/2026,SHEPPARTON UNITED,135,20.15,TATURA,36,5.6
8,30/05/2026,BENALLA,51,7.9,ROCHESTER,161,25.11
8,30/05/2026,EUROA,81,12.9,TATURA,39,5.9
8,30/05/2026,KYABRAM,73,11.7,SHEPPARTON UNITED,79,10.19
8,30/05/2026,MOOROOPNA,88,13.10,SEYMOUR,65,8.17
8,30/05/2026,SHEPPARTON SWANS,75,11.9,MANSFIELD,75,11.9
8,30/05/2026,SHEPPARTON BEARS,70,10.10,ECHUCA,80,11.14
9,06/06/2026,ECHUCA,125,18.17,EUROA,40,6.4
9,06/06/2026,KYABRAM,83,11.17,MOOROOPNA,98,15.8
9,06/06/2026,MANSFIELD,54,8.6,SHEPPARTON BEARS,71,9.17
9,06/06/2026,SEYMOUR,82,11.16,ROCHESTER,60,9.6
9,06/06/2026,SHEPPARTON UNITED,142,22.10,BENALLA,40,6.4
9,06/06/2026,TATURA,67,10.7,SHEPPARTON SWANS,100,15.10
10,13/06/2026,BENALLA,65,9.11,KYABRAM,82,12.10
10,13/06/2026,ECHUCA,124,19.10,SHEPPARTON SWANS,50,7.8
10,13/06/2026,EUROA,38,5.8,SHEPPARTON BEARS,99,15.9
10,13/06/2026,ROCHESTER,76,10.16,MOOROOPNA,68,10.8
10,13/06/2026,SHEPPARTON UNITED,46,5.16,SEYMOUR,61,9.7
10,13/06/2026,TATURA,42,6.6,MANSFIELD,72,9.18
11,20/06/2026,MANSFIELD,58,8.10,ECHUCA,80,10.20
11,20/06/2026,MOOROOPNA,51,6.15,BENALLA,33,4.9
11,20/06/2026,ROCHESTER,83,12.11,SHEPPARTON UNITED,36,4.12
11,20/06/2026,SEYMOUR,91,13.13,KYABRAM,69,10.9
11,20/06/2026,SHEPPARTON SWANS,64,9.10,EUROA,49,7.7
11,20/06/2026,SHEPPARTON BEARS,113,16.17,TATURA,26,3.8
12,27/06/2026,BENALLA,64,9.10,ECHUCA,75,11.9
12,27/06/2026,KYABRAM,98,14.14,SHEPPARTON SWANS,64,9.10
12,27/06/2026,MANSFIELD,69,9.15,ROCHESTER,103,14.19
12,27/06/2026,MOOROOPNA,80,11.14,TATURA,47,7.5
12,27/06/2026,SEYMOUR,70,10.10,SHEPPARTON BEARS,115,17.13
12,27/06/2026,SHEPPARTON UNITED,88,13.10,EUROA,52,6.16
13,04/07/2026,SEYMOUR,82,10.22,BENALLA,59,9.5
13,04/07/2026,EUROA,94,14.10,MANSFIELD,86,12.14
13,04/07/2026,ROCHESTER,79,12.7,KYABRAM,54,7.12
13,04/07/2026,SHEPPARTON SWANS,39,5.9,MOOROOPNA,66,10.6
13,04/07/2026,SHEPPARTON UNITED,32,4.8,SHEPPARTON BEARS,64,9.10
13,04/07/2026,TATURA,12,1.6,ECHUCA,130,19.16
14,18/07/2026,ECHUCA,76,11.10,ROCHESTER,48,5.18
14,18/07/2026,EUROA,97,14.13,BENALLA,65,9.11
14,18/07/2026,KYABRAM,104,14.20,TATURA,30,4.6
14,18/07/2026,SEYMOUR,95,13.17,MANSFIELD,91,13.13
14,18/07/2026,SHEPPARTON SWANS,64,9.10,SHEPPARTON UNITED,126,19.12
14,18/07/2026,SHEPPARTON BEARS,70,10.10,MOOROOPNA,68,10.8
15,25/07/2026,BENALLA,64,9.10,MANSFIELD,135,20.15
15,25/07/2026,EUROA,75,11.9,SEYMOUR,58,8.10
15,25/07/2026,SHEPPARTON SWANS,51,7.9,SHEPPARTON BEARS,85,12.13
15,25/07/2026,SHEPPARTON UNITED,60,8.12,MOOROOPNA,87,12.15
15,25/07/2026,TATURA,52,7.10,ROCHESTER,90,13.12
15,25/07/2026,ECHUCA,74,11.8,KYABRAM,94,14.10
16,01/08/2026,ECHUCA,85,12.13,SEYMOUR,82,12.10
16,01/08/2026,SHEPPARTON BEARS,125,18.17,BENALLA,57,8.9
16,01/08/2026,TATURA,35,5.5,SHEPPARTON UNITED,154,23.16
16,08/08/2026,MANSFIELD,85,13.7,KYABRAM,116,17.14
16,08/08/2026,MOOROOPNA,100,15.10,EUROA,40,5.10
16,08/08/2026,SHEPPARTON SWANS,91,14.7,ROCHESTER,75,10.15
