Team,Pos,P,W,L,D,For,Against,Pts,Pct
Shepparton Bears,1,18,17,1,0,1738,922,68,188.5
Echuca,2,18,16,2,0,1762,1058,64,166.5
Seymour,3,18,11,7,0,1566,1274,44,122.9
Shepparton Swans,4,18,10,7,1,1303,1408,42,92.5
Kyabram,5,18,10,8,0,1709,1299,40,131.6
Mooroopna,6,18,10,8,0,1337,1246,40,107.3
Rochester,7,18,9,9,0,1450,1303,36,111.3
Shepparton United,8,18,9,9,0,1455,1338,36,108.7
Mansfield,9,18,6,11,1,1567,1470,26,106.6
Euroa,10,18,5,13,0,1054,1637,20,64.4
Benalla,11,18,4,14,0,1052,1674,16,62.8
Tatura,12,18,0,18,0,727,2091,0,34.8
