Rank,Name,Team,Games,RP,D,K,HB,CP,M,Cl,I50,G,B,SI,IP,T,BOU,HO,HOA,TGB,HBG,LBG,HR,CM,UM,IM,MI50,CC,BUC,TIC,R50,FF,FA,KI,1%,GST,BTO,MTO,FTO,PR,Ch,Sm,Sp,KO,FTKL,MTKL,BTKL,GA,GA%,DE%,K%,H%,I50%,C%,R50%
1,Stuart Horner,Shepparton United,1,186.0,42.0,21.0,21.0,16.0,12.0,11.0,5.0,0.0,0.0,9.0,6.0,5.0,0.0,0.0,0.0,13.0,4.0,9.0,0.0,0.0,12.0,1.0,0.0,3.0,4.0,4.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,1.0,7.0,1.0,1.0,0.0,0.0,0.0,3.0,2.0,1.0,0.0,76.0,67.0,86.0,20.0,55.0,100.0
2,Zac Norris,Kyabram,20,154.7,24.9,14.0,10.9,18.1,5.0,10.3,4.1,0.6,0.2,6.0,2.8,2.1,0.0,38.0,8.9,5.0,2.5,2.5,0.1,1.3,3.7,1.1,0.6,3.6,4.3,2.4,1.6,1.1,1.5,0.0,1.9,0.0,0.2,3.1,1.4,3.8,0.1,0.4,0.8,0.6,0.2,1.7,0.2,0.3,75.0,61.0,51.0,73.0,51.0,56.0,55.0
3,Lewis McShane,Shepparton Bears,20,146.9,32.7,21.8,10.9,13.6,8.1,8.1,6.2,1.4,1.4,8.6,4.3,5.0,0.6,0.1,0.0,8.4,3.4,5.1,0.5,0.8,7.3,0.3,1.1,1.8,4.0,2.4,2.3,1.4,0.7,0.0,1.9,0.0,0.4,3.9,2.4,9.1,0.7,0.6,0.2,0.3,1.1,3.5,0.4,1.6,49.0,61.0,52.0,78.0,43.0,54.0,52.0
4,Zavier Maher,Shepparton United,7,145.9,29.7,17.6,12.1,17.0,4.4,10.1,8.3,1.4,1.1,8.3,4.7,5.9,0.6,0.0,0.0,11.3,4.7,6.6,0.6,0.6,3.9,0.7,0.1,3.3,4.6,2.3,1.7,1.6,1.3,0.0,1.6,0.0,0.0,3.4,2.7,9.4,0.4,0.1,0.3,0.7,0.7,4.9,0.3,0.9,55.0,64.0,57.0,74.0,50.0,63.0,58.0
5,Ryley Ferguson,Rochester,17,143.2,22.4,12.4,10.0,13.2,6.0,5.9,5.4,0.7,0.6,6.2,5.3,4.1,0.2,24.3,5.2,7.6,3.2,4.4,0.2,2.0,4.0,1.9,0.6,2.0,1.9,2.1,1.6,0.9,1.0,0.0,2.6,0.0,0.1,2.4,1.9,9.1,0.7,0.2,1.0,0.7,0.9,2.5,0.7,1.1,52.0,65.0,60.0,71.0,52.0,67.0,48.0
6,Luke Smith,Shepparton Bears,22,142.4,28.0,19.4,8.6,12.3,6.6,6.0,4.4,2.4,1.2,8.7,4.2,5.8,0.2,0.0,0.0,7.6,2.6,5.0,0.5,0.6,6.0,0.7,1.9,2.0,2.6,1.3,1.0,2.0,0.7,0.0,1.8,0.0,0.1,2.1,2.1,10.4,0.9,0.3,0.2,0.4,2.0,3.4,0.5,1.3,65.0,64.0,58.0,77.0,46.0,64.0,73.0
7,Harry Mahoney,Mansfield,13,141.9,34.3,21.8,12.5,11.8,6.6,2.6,6.8,0.8,1.2,7.6,8.1,3.3,2.6,0.0,0.0,8.0,2.5,5.5,2.2,1.1,5.5,1.7,0.4,0.5,1.4,0.8,2.8,3.0,0.9,1.2,2.2,0.0,0.2,3.5,2.0,6.8,0.7,0.5,0.6,0.3,0.2,2.5,0.7,0.8,40.0,70.0,64.0,81.0,45.0,65.0,58.0
8,Dylan Cook,Seymour,18,139.4,30.1,16.5,13.6,16.9,5.5,10.2,6.2,0.4,0.6,6.9,3.7,7.4,0.4,0.0,0.0,10.1,4.2,5.9,0.3,1.0,4.5,0.6,0.3,4.2,3.4,2.6,1.7,2.4,1.9,0.0,2.3,0.0,0.2,4.0,2.3,12.0,1.1,0.3,0.5,0.4,1.1,5.1,1.2,0.9,42.0,65.0,52.0,81.0,50.0,58.0,60.0
9,Taj Woewodin,Mansfield,1,139.0,30.0,14.0,16.0,12.0,7.0,6.0,7.0,0.0,2.0,9.0,4.0,9.0,2.0,0.0,0.0,6.0,4.0,2.0,1.0,0.0,7.0,1.0,0.0,1.0,2.0,3.0,0.0,3.0,3.0,0.0,1.0,0.0,0.0,1.0,2.0,10.0,1.0,0.0,0.0,0.0,3.0,5.0,1.0,1.0,0.0,67.0,50.0,81.0,43.0,83.0,0.0
10,Liam Betson,Mooroopna,19,138.9,20.1,9.4,10.7,15.3,2.6,9.2,2.9,0.2,0.2,4.4,4.1,4.3,0.0,37.0,8.6,6.1,3.4,2.7,0.0,0.7,1.8,1.1,0.3,1.4,4.9,2.8,1.5,1.4,2.1,0.0,3.8,0.0,0.5,2.7,0.9,7.1,0.4,0.4,1.8,1.2,0.3,3.2,0.8,0.5,50.0,64.0,47.0,78.0,41.0,63.0,39.0
