Rank,Name,Team,Games,RP,D,K,HB,CP,M,Cl,I50,G,B,SI,IP,T,BOU,HO,HOA,TGB,HBG,LBG,HR,CM,UM,IM,MI50,CC,BUC,TIC,R50,FF,FA,KI,1%,GST,BTO,MTO,FTO,PR,Ch,Sm,Sp,KO,FTKL,MTKL,BTKL,GA,GA%,DE%,K%,H%,I50%,C%,R50%
1,Luke Smith,Shepparton Bears,22,"3,132",616,427,189,270,146,131,97,52,27,191,92,127,5,0,0,167,57,110,11,13,133,15,41,44,58,29,22,43,16,1,40,0,2,46,46,229,20,7,5,8,43,74,10,28,65,64,58,77,46,64,73
2,Zac Norris,Kyabram,20,"3,093",499,280,219,362,100,207,82,12,4,119,56,43,0,759,179,100,50,50,2,26,74,21,12,73,87,47,33,23,30,0,38,0,4,63,29,76,2,8,16,12,5,34,4,7,75,61,51,73,51,56,55
3,Lewis McShane,Shepparton Bears,20,"2,939",654,435,219,272,162,162,123,28,29,172,86,100,12,1,0,169,67,102,10,15,147,7,22,35,79,48,46,27,14,0,37,0,8,78,48,181,13,11,5,6,23,69,8,31,49,61,52,78,43,54,52
4,Jack Russell,Kyabram,20,"2,748",643,390,253,229,170,136,108,15,11,157,51,100,5,0,0,146,55,91,30,14,156,9,18,51,57,28,36,27,29,0,35,0,3,54,46,183,16,2,5,8,12,80,8,19,57,72,65,82,56,68,61
5,Liam Betson,Mooroopna,19,"2,639",381,178,203,290,49,174,56,4,4,84,77,82,0,703,164,116,64,52,0,14,35,21,5,26,94,54,28,27,40,0,72,0,10,51,18,134,7,7,34,22,5,61,16,10,50,64,47,78,41,63,39
6,Keelin Betson,Mooroopna,20,"2,612",553,202,351,334,71,163,66,5,5,93,98,168,2,38,5,201,90,111,6,14,57,11,4,39,70,54,39,25,35,0,44,0,10,58,29,245,7,7,22,8,30,111,27,9,41,67,50,76,50,74,46
7,Kaine Herbert,Kyabram,21,"2,522",608,426,182,204,127,146,133,16,13,137,77,65,2,4,1,134,35,99,21,8,119,10,11,37,71,38,51,19,17,4,38,0,2,72,39,107,1,9,8,20,12,44,9,26,53,64,57,81,54,54,55
8,Ash Holland,Shepparton Bears,20,"2,519",273,150,123,163,91,60,48,9,5,101,62,52,0,997,279,52,29,23,0,48,43,26,13,12,23,25,24,26,15,0,65,0,2,36,18,89,1,4,31,25,2,46,4,8,64,61,47,77,42,53,33
9,Dylan Cook,Seymour,18,"2,509",542,297,245,304,99,184,112,8,10,124,66,133,7,0,0,181,75,106,5,18,81,10,6,75,62,47,30,43,35,0,42,0,4,72,42,216,19,5,9,7,20,91,22,16,42,65,52,81,50,58,60
10,Mitchell Trewhella,Rochester,18,"2,462",541,238,303,265,74,130,100,10,11,130,91,150,3,0,0,181,67,114,15,3,71,10,4,46,51,33,23,41,22,0,33,0,5,49,40,243,6,6,8,11,24,104,22,19,47,69,57,79,55,74,65
11,Ryley Ferguson,Rochester,17,"2,434",381,211,170,225,102,101,91,12,11,106,90,70,4,413,89,129,54,75,4,34,68,33,10,34,32,35,27,16,17,0,45,0,2,41,33,155,12,4,17,12,15,43,12,19,52,65,60,71,52,67,48
12,Nicholas Quigg,Seymour,18,"2,357",513,318,195,257,108,123,105,15,13,111,71,114,4,1,0,166,78,88,9,14,94,11,8,35,53,35,36,30,38,0,40,0,7,63,26,200,20,7,8,3,17,80,17,13,53,65,58,75,53,61,61
13,Mark Marriott,Benalla,17,"2,286",287,119,168,189,53,101,42,7,1,62,57,87,0,771,180,93,42,51,0,17,36,9,7,28,40,33,29,33,38,0,85,0,7,35,21,152,7,6,46,21,7,61,19,4,87,61,56,64,40,57,48
14,Coby McCarthy,Kyabram,20,"2,278",567,251,316,278,101,110,65,9,17,134,71,113,3,0,0,182,87,95,13,4,97,2,6,30,44,36,26,31,40,2,28,0,4,67,29,167,7,5,3,12,33,74,6,21,34,70,57,81,58,63,62
15,Jack Evans,Echuca,20,"2,188",556,365,191,182,111,53,100,9,11,123,97,47,1,0,0,144,52,92,26,6,105,13,3,13,25,15,63,16,16,51,23,0,2,51,35,104,7,7,5,1,5,36,6,23,45,72,69,80,55,70,73
16,Kai Madgwick,Mooroopna,19,"2,185",612,381,231,198,90,126,106,6,5,79,69,64,13,1,0,129,35,94,44,2,88,5,3,35,52,39,69,19,20,1,30,0,6,75,45,129,12,5,2,9,7,46,11,9,54,63,51,82,44,47,62
17,Isaac Dowling,Mooroopna,19,"2,155",488,277,211,198,106,103,71,10,10,96,80,70,1,0,0,126,42,84,7,7,99,8,9,26,50,27,37,26,20,4,36,0,4,37,23,147,13,9,9,4,5,54,11,15,50,70,64,79,59,65,70
18,Ethan Warburton,Shepparton Swans,18,"2,141",533,406,127,104,104,20,47,3,6,64,122,17,40,0,0,75,14,61,49,10,94,38,4,1,15,4,144,9,8,130,66,0,4,45,13,34,0,5,52,9,0,11,6,3,33,75,72,84,57,70,67
19,Nate Rasmussen,Rochester,18,"2,123",475,286,189,202,88,122,98,13,11,115,76,78,23,1,0,145,51,94,21,4,84,5,7,28,62,32,35,19,18,1,22,0,5,48,37,131,10,1,5,6,10,53,15,25,54,69,60,82,63,61,69
20,Jackson Stewart,Echuca,21,"2,106",504,239,265,239,61,127,71,9,14,110,72,123,7,0,0,159,49,110,13,2,59,4,5,33,65,29,19,31,24,1,37,0,4,52,38,249,20,9,3,5,25,87,11,13,39,64,51,76,54,64,47
21,Huw Jones,Seymour,18,"2,092",473,386,87,119,147,16,30,2,1,68,134,54,8,0,0,79,27,52,25,12,135,45,4,2,8,6,130,12,8,115,26,0,15,47,9,92,7,2,13,4,0,30,24,4,66,76,74,84,73,44,62
22,Kade Odwyer,Shepparton Bears,21,"2,055",432,187,245,257,50,106,79,15,11,112,71,115,22,3,1,165,80,85,3,4,46,3,12,35,48,23,8,27,28,0,43,0,1,28,37,202,16,6,9,10,27,83,5,16,57,70,59,78,51,76,63
23,Callum Brown,Mansfield,15,"2,019",450,248,202,211,61,122,79,22,8,113,79,83,1,0,0,150,49,101,9,6,55,7,9,50,45,27,28,33,15,6,27,0,2,53,29,150,4,7,2,11,13,61,9,11,70,66,53,81,48,63,50
24,Brodie Newman,Shepparton United,16,"2,019",337,254,83,112,176,2,17,4,3,53,156,17,7,3,1,48,14,34,5,46,130,86,6,0,1,1,66,13,15,23,65,0,8,18,8,38,2,2,58,3,1,7,9,2,57,80,79,82,29,50,74
25,Liam Teague,Shepparton Bears,22,"2,017",458,224,234,231,69,112,80,15,8,114,69,91,17,2,1,155,54,101,11,5,64,4,3,33,49,30,23,29,23,0,24,0,5,52,37,179,11,2,5,5,25,53,13,16,65,73,60,85,55,68,70
26,Coby James,Mooroopna,20,"1,974",472,334,138,106,133,17,43,1,4,55,133,56,22,0,0,78,19,59,31,8,125,37,1,2,8,7,104,15,20,74,35,0,8,51,11,115,15,1,17,1,3,33,20,7,20,74,73,78,51,71,63
27,James Bennett,Tatura,17,"1,962",495,254,241,251,96,139,81,2,0,37,42,96,4,1,0,163,60,103,24,8,88,1,1,48,57,34,47,27,36,0,26,0,5,74,29,177,15,4,3,3,8,64,24,5,100,60,46,74,36,58,53
