Rank,Name,Games,RP,D,K,HB,CP,M,Cl,I50,G,B,SI,IP,T,BOU,HO,HOA,TGB,HBG,LBG,HR,CM,UM,IM,MI50,CC,BUC,TIC,R50,FF,FA,KI,1%,GST,BTO,MTO,FTO,PR,Ch,Sm,Sp,KO,FTKL,MTKL,BTKL,GA,GA%,DE%,K%,H%,I50%,C%,R50%
1,Echuca,21,"1,739.5",372.4,229.9,142.5,152.9,99.3,43.6,55.6,14.8,11.7,100.1,74.2,66.0,0.0,42.3,9.2,100.2,34.1,66.0,8.3,15.4,84.0,16.0,15.9,10.8,20.1,12.8,33.2,17.1,0.0,9.0,45.4,9.5,4.7,43.2,27.4,129.4,10.8,6.0,19.4,0.0,11.5,42.9,11.6,13.1,53.0,69.0,62.0,79.0,54.0,64.0,63.0
2,Kyabram,21,"1,732.4",373.2,231.1,142.1,149.5,102.5,47.2,52.6,13.2,10.5,93.2,72.4,61.7,0.0,52.8,11.8,93.9,34.1,59.8,9.0,16.2,86.3,17.1,13.1,12.0,21.7,13.4,34.9,15.8,0.0,9.4,42.9,8.4,4.2,42.7,26.5,122.1,12.7,4.3,16.1,0.0,14.1,38.2,9.4,11.3,51.0,68.0,61.0,79.0,51.0,61.0,63.0
3,Shepparton Bears,22,"1,713.4",356.2,221.0,135.2,143.5,95.1,45.5,54.7,13.6,9.9,90.0,77.1,66.9,0.0,65.2,16.9,90.6,32.4,58.2,7.9,14.0,81.0,16.5,13.7,11.0,21.3,13.2,32.7,18.7,0.0,8.4,48.9,8.8,4.6,43.1,29.0,133.2,11.4,5.2,22.0,0.0,13.9,41.7,11.3,11.8,52.0,66.0,60.0,76.0,48.0,61.0,60.0
4,Shepparton United,18,"1,617.7",349.7,224.3,125.4,128.9,110.4,41.8,48.3,11.6,9.1,84.4,68.3,55.2,0.0,56.2,11.8,77.9,28.4,49.6,7.4,14.3,96.1,16.8,15.1,10.0,20.1,11.7,30.8,18.2,0.0,9.2,36.3,7.1,5.0,39.0,24.6,105.2,12.7,3.2,13.7,0.0,10.2,34.3,10.6,9.7,50.0,69.0,64.0,77.0,51.0,61.0,64.0
5,Seymour,18,"1,567.3",323.4,208.4,114.9,138.2,95.3,43.3,48.6,11.8,9.4,85.4,69.9,60.2,0.0,54.0,11.0,83.9,32.5,51.4,8.9,15.0,80.3,15.8,13.8,10.8,19.9,12.6,33.3,19.6,0.0,9.4,43.2,7.4,6.1,41.9,23.9,127.2,13.1,4.4,17.1,0.0,11.5,36.9,11.8,9.9,48.0,67.0,61.0,78.0,50.0,59.0,60.0
6,Rochester,18,"1,565.3",339.1,204.2,134.9,143.7,83.4,44.2,54.0,11.4,9.7,77.2,74.0,65.8,0.0,41.4,8.8,96.3,37.6,58.8,10.3,13.0,70.4,15.6,11.6,10.9,21.2,12.1,34.7,17.2,0.0,11.3,44.2,6.7,5.1,45.4,30.7,128.3,10.9,3.8,21.1,0.0,12.6,39.2,14.1,9.6,49.0,66.0,59.0,77.0,49.0,65.0,62.0
7,Mooroopna,20,"1,552.0",338.6,199.1,139.6,135.2,81.3,44.5,44.4,10.6,8.8,71.3,68.0,65.2,0.0,52.6,11.2,81.0,29.1,51.9,10.1,12.4,68.8,14.1,10.3,8.5,22.3,13.7,38.0,19.7,0.0,11.3,41.6,6.2,5.2,43.7,21.4,129.8,13.6,4.3,17.1,0.0,10.6,39.8,14.8,8.3,50.0,67.0,59.0,79.0,51.0,64.0,59.0
8,Mansfield,18,"1,533.1",323.2,193.6,129.6,139.9,74.1,43.7,51.2,12.5,10.4,80.9,72.5,70.8,0.0,43.0,10.8,91.6,27.7,63.9,8.3,12.3,61.7,13.8,11.4,11.7,19.4,12.7,33.1,24.6,0.0,11.4,45.8,7.2,6.2,42.6,27.5,135.1,9.5,5.9,17.8,0.0,13.4,42.2,15.2,10.4,50.0,65.0,56.0,78.0,46.0,62.0,59.0
9,Shepparton Swans,19,"1,514.5",324.7,206.9,117.8,126.8,88.5,39.4,46.3,10.5,9.1,71.8,70.4,67.8,0.0,34.9,6.4,86.4,29.8,56.6,9.4,9.8,78.6,13.4,11.8,8.7,18.8,11.9,35.7,20.2,0.0,10.7,46.0,6.5,4.2,43.4,23.4,135.4,14.0,3.8,16.4,0.0,11.7,43.1,13.1,8.8,50.0,66.0,60.0,78.0,51.0,62.0,62.0
10,Euroa,17,"1,479.1",330.8,194.3,136.5,128.1,86.4,36.5,37.4,8.1,6.4,61.6,65.3,61.9,0.0,33.4,9.0,84.4,30.6,53.8,10.1,11.9,74.5,14.2,9.5,9.1,15.1,12.4,39.7,19.9,0.0,11.9,39.7,5.4,6.2,44.9,20.5,122.1,12.0,3.9,15.7,0.0,9.6,34.8,17.5,7.1,49.0,69.0,62.0,79.0,51.0,66.0,64.0
11,Benalla,17,"1,428.7",318.1,196.6,121.5,128.9,85.9,39.3,39.9,8.1,6.5,56.9,66.3,51.1,0.0,56.6,13.6,79.8,28.3,51.5,7.4,13.1,72.8,13.9,9.1,9.4,17.3,12.6,39.8,20.4,0.0,13.5,45.4,5.6,7.3,44.8,23.1,111.6,12.2,3.7,20.2,0.0,7.3,33.1,10.7,6.6,48.0,65.0,59.0,74.0,48.0,58.0,60.0
12,Tatura,17,"1,425.4",323.2,206.4,116.9,123.1,99.6,38.8,31.1,5.5,4.3,38.6,63.4,51.8,0.0,50.6,13.5,77.0,25.2,51.8,6.9,12.0,87.6,17.3,6.9,9.9,16.4,12.5,43.0,16.2,0.0,14.8,40.3,2.8,8.1,49.6,17.8,111.2,15.1,3.2,15.7,0.0,6.4,32.1,13.3,4.5,46.0,67.0,60.0,78.0,43.0,56.0,59.0
