Rank,Name,Games,RP,D,K,HB,CP,M,Cl,I50,G,B,SI,IP,T,BOU,HO,HOA,TGB,HBG,LBG,HR,CM,UM,IM,MI50,CC,BUC,TIC,R50,FF,FA,KI,1%,GST,BTO,MTO,FTO,PR,Ch,Sm,Sp,KO,FTKL,MTKL,BTKL,GA,GA%,DE%,K%,H%,I50%,C%,R50%
1,Shepparton Bears,22,"37,695","7,836","4,862","2,974","3,157","2,092","1,000","1,203",300,217,"1,979","1,697","1,471",0,"1,435",371,"1,994",713,"1,281",174,309,"1,783",363,301,242,468,290,720,412,0,185,"1,075",194,101,949,639,"2,931",251,114,484,0,305,917,249,259,52,66,60,76,48,61,60
2,Echuca,21,"36,530","7,821","4,828","2,993","3,211","2,086",916,"1,167",310,245,"2,102","1,559","1,387",0,888,193,"2,104",717,"1,387",174,323,"1,763",336,333,226,422,268,698,359,0,189,953,199,98,908,576,"2,717",226,126,408,0,242,901,244,275,53,69,62,79,54,64,63
3,Kyabram,21,"36,381","7,837","4,853","2,984","3,140","2,153",991,"1,105",277,220,"1,957","1,520","1,296",0,"1,109",247,"1,972",716,"1,256",189,340,"1,813",359,275,253,456,282,733,332,0,197,900,177,88,897,556,"2,565",267,91,338,0,296,802,198,237,51,68,61,79,51,61,63
4,Mooroopna,20,"31,039","6,773","3,981","2,792","2,705","1,626",890,888,212,175,"1,426","1,359","1,305",0,"1,052",225,"1,619",581,"1,038",202,249,"1,377",282,207,170,446,274,760,394,0,226,832,125,103,874,427,"2,595",271,86,343,0,212,796,297,166,50,67,59,79,51,64,59
5,Shepparton United,18,"29,119","6,295","4,038","2,257","2,321","1,988",752,870,208,163,"1,520","1,230",993,0,"1,012",212,"1,403",511,892,133,258,"1,730",303,272,180,361,211,554,328,0,165,654,127,90,702,443,"1,893",228,58,247,0,184,618,191,175,50,69,64,77,51,61,64
6,Shepparton Swans,19,"28,775","6,170","3,932","2,238","2,410","1,681",748,879,200,173,"1,365","1,338","1,288",0,663,122,"1,642",566,"1,076",178,187,"1,494",255,225,165,357,226,678,384,0,204,874,124,79,825,445,"2,572",266,73,312,0,222,818,248,167,50,66,60,78,51,62,62
7,Seymour,18,"28,212","5,821","3,752","2,069","2,488","1,715",780,874,213,170,"1,538","1,259","1,084",0,972,198,"1,511",585,926,160,270,"1,445",285,248,195,358,227,599,353,0,169,778,134,110,755,430,"2,290",236,80,307,0,207,664,213,179,48,67,61,78,50,59,60
8,Rochester,18,"28,175","6,104","3,675","2,429","2,586","1,501",795,972,206,174,"1,390","1,332","1,185",0,745,158,"1,734",676,"1,058",186,234,"1,267",281,208,196,381,218,625,310,0,203,795,120,92,817,553,"2,309",196,68,379,0,226,705,254,172,49,66,59,77,49,65,62
9,Mansfield,18,"27,596","5,817","3,484","2,333","2,518","1,333",787,922,225,188,"1,457","1,305","1,275",0,774,194,"1,649",499,"1,150",150,222,"1,111",248,206,210,349,228,596,443,0,205,824,130,111,767,495,"2,432",171,106,320,0,241,760,274,188,50,65,56,78,46,62,59
10,Euroa,17,"25,144","5,623","3,303","2,320","2,178","1,468",621,636,138,109,"1,048","1,110","1,052",0,567,153,"1,435",520,915,172,202,"1,266",241,162,154,256,211,675,339,0,203,675,91,106,764,349,"2,076",204,66,267,0,163,591,298,120,49,69,62,79,51,66,64
11,Benalla,17,"24,288","5,407","3,342","2,065","2,191","1,461",668,678,137,111,967,"1,127",869,0,963,231,"1,357",481,876,125,223,"1,238",236,155,159,294,215,677,347,0,229,772,95,124,762,392,"1,898",208,63,344,0,124,563,182,113,48,65,59,74,48,58,60
12,Tatura,17,"24,231","5,495","3,508","1,987","2,093","1,694",660,529,93,73,656,"1,078",880,0,860,229,"1,309",428,881,118,204,"1,490",294,118,168,279,213,731,276,0,252,685,48,137,844,302,"1,890",256,54,267,0,109,545,226,77,46,67,60,78,43,56,59
