Round,FixtureId,Team,Number,Name,K,HB,D,CP,M,I50,R50,1%,T,Cl,G,RP
1,26640,Shepparton Bears,20,Mitchell Brett,19,6,25,5,7,1,6,3,0,0,0,84
1,26640,Shepparton Bears,1,Luke Smith,17,8,25,12,6,4,2,3,3,4,1,132
1,26640,Shepparton United,3,Joel Serra,17,9,26,16,2,3,3,2,3,13,0,96
1,26640,Shepparton Bears,10,Adam Decicco,15,7,22,6,6,6,1,1,7,5,0,100
1,26640,Shepparton United,5,Jesse Cucinotta,15,9,24,9,5,3,1,2,2,0,0,84
1,26640,Shepparton United,7,Angus Hicks,15,7,22,10,2,5,1,1,6,6,0,77
1,26640,Shepparton Bears,5,Xavier Stevenson,14,12,26,7,9,3,1,1,8,2,2,118
1,26640,Shepparton Bears,15,Tanner Madigan,14,4,18,4,4,2,3,1,1,1,1,60
1,26640,Shepparton Bears,29,Daniel Meek,13,8,21,5,9,0,2,1,0,0,0,87
1,26640,Shepparton Bears,10,Sam O'Brien,13,8,21,8,5,3,2,3,1,2,1,95
1,26640,Shepparton United,12,Brodie Newman,13,4,17,8,11,0,3,3,1,0,0,131
1,26640,Shepparton Bears,16,Zac Metcalf,12,5,17,4,7,0,4,3,1,0,0,78
1,26640,Shepparton Bears,32,Max Brodie,12,8,20,6,7,3,3,0,0,0,0,90
1,26640,Shepparton United,15,Liam Serra,12,7,19,7,7,5,1,2,4,2,2,103
1,26640,Shepparton United,33,Jordan Haynes,12,9,21,11,3,6,1,2,3,5,0,87
1,26640,Shepparton United,1,Fraser Hicks,11,2,13,3,1,0,6,1,2,0,0,41
1,26640,Shepparton United,18,Jordan Wiggins,11,2,13,1,5,0,4,0,0,1,0,50
1,26640,Shepparton Bears,8,Jacob Watts,10,6,16,9,3,6,2,1,9,8,0,87
1,26640,Shepparton United,8,Mitchell Trevaskis,10,4,14,3,4,0,4,1,1,2,0,64
1,26640,Shepparton Bears,23,Liam Teague,9,12,21,13,4,3,0,0,2,5,1,87
1,26640,Shepparton Bears,31,Lachlan Rumbiolo,9,5,14,4,2,1,1,1,3,1,0,60
1,26640,Shepparton United,22,Matthew Casey,9,3,12,10,7,2,0,2,2,1,1,71
1,26640,Shepparton United,14,Sheldon Bogdan,9,8,17,10,3,4,0,0,6,6,0,53
1,26640,Shepparton United,16,Mitchell Serra,9,10,19,4,4,3,1,2,2,0,0,71
1,26640,Shepparton Bears,2,Trent Herbert,8,4,12,2,9,3,1,0,4,0,2,81
1,26640,Shepparton Bears,14,Liam Broom,8,5,13,6,4,2,0,6,2,3,1,90
1,26640,Shepparton United,42,Jordan Loverso,8,3,11,3,5,2,0,1,3,0,0,41
1,26640,Shepparton United,17,Kale Gibson,8,7,15,6,4,2,1,2,2,1,0,49
1,26640,Shepparton Bears,4,Anthony Andronaco,7,1,8,3,3,3,0,0,1,0,0,39
1,26640,Shepparton Bears,26,Noah Muir,7,7,14,8,3,2,0,2,2,0,2,51
1,26640,Shepparton Bears,22,Bryce Stephenson,6,2,8,3,3,0,1,5,0,0,0,51
1,26640,Shepparton Bears,25,Mitchell Fleming,6,5,11,3,3,0,0,2,4,0,1,57
1,26640,Shepparton Bears,13,Kade Odwyer,5,5,10,6,4,1,1,1,7,3,1,65
1,26640,Shepparton Bears,19,Ash Holland,5,6,11,9,3,1,2,1,5,3,1,104
1,26640,Shepparton United,23,Sam McInneny,5,9,14,4,3,0,2,2,2,0,0,61
1,26640,Shepparton United,4,Kaedyn Napier,4,9,13,4,4,2,0,1,0,0,0,45
1,26640,Shepparton United,26,Jensen Dowling,4,3,7,4,2,0,0,1,1,2,2,67
1,26640,Shepparton United,27,Declan Newbound,4,3,7,1,3,0,0,0,0,1,0,23
1,26640,Shepparton Bears,5,Liam Duguid,3,3,6,4,0,1,0,1,4,1,0,34
1,26640,Shepparton United,9,Jayedon Hexter,3,1,4,2,2,0,0,1,1,1,0,19
1,26640,Shepparton United,59,David O'Dwyer,3,2,5,5,0,0,1,1,2,3,0,49
1,26640,Shepparton Bears,11,Lachlan Ludeman,2,2,4,1,2,0,0,2,0,1,1,26
1,26640,Shepparton United,12,Timothy Looby,1,0,1,0,0,0,0,1,0,0,0,2
1,26640,Shepparton United,24,Zane Chalcraft,1,3,4,1,0,0,0,0,3,1,0,14
2,26645,Shepparton United,7,Angus Hicks,18,9,27,12,5,7,2,2,4,8,1,107
2,26645,Euroa,25,Nate Trotter,17,4,21,4,5,1,10,2,1,0,0,76
2,26645,Shepparton United,33,Jordan Haynes,16,11,27,10,7,4,1,2,3,6,0,102
2,26645,Euroa,19,Ryan Hill,15,6,21,7,4,2,6,1,4,4,0,75
2,26645,Shepparton United,3,Joel Serra,14,5,19,5,4,2,1,2,4,3,0,68
2,26645,Shepparton United,11,Brodie Newman,14,4,18,8,11,1,1,1,0,0,0,107
2,26645,Shepparton United,15,Liam Serra,14,6,20,8,7,6,0,2,4,0,1,111
2,26645,Euroa,9,Jayden Gleeson,13,13,26,7,3,1,1,2,5,2,0,81
2,26645,Shepparton United,1,Fraser Hicks,12,5,17,5,3,0,5,1,1,0,0,62
2,26645,Shepparton United,10,Matthew Casey,12,0,12,10,6,1,0,0,3,2,3,80
2,26645,Euroa,2,Jett Trotter,12,10,22,5,5,4,1,0,2,1,3,84
2,26645,Euroa,5,Cohen Paul,12,5,17,6,5,1,4,6,2,0,0,111
2,26645,Euroa,11,Andrew Bell,12,10,22,8,6,4,0,1,2,4,0,102
2,26645,Euroa,12,Darby Wilson,11,7,18,5,6,2,2,7,2,0,0,81
2,26645,Shepparton United,14,Sheldon Bogdan,9,5,14,8,3,4,1,0,5,5,0,63
2,26645,Euroa,14,Marcus Varley,9,1,10,4,3,1,2,3,9,3,0,62
2,26645,Shepparton United,4,Kaedyn Napier,8,5,13,3,6,3,0,1,0,1,1,64
2,26645,Shepparton United,42,Jordan Loverso,8,3,11,3,4,4,0,0,3,1,1,62
2,26645,Shepparton United,8,Mitchell Trevaskis,7,3,10,2,4,0,3,0,0,0,0,40
2,26645,Shepparton United,16,Mitchell Serra,7,4,11,2,2,3,0,0,0,0,0,35
2,26645,Euroa,23,Adam Giobbi,7,3,10,7,5,2,0,1,1,0,2,72
2,26645,Shepparton United,9,Jayedon Hexter,6,3,9,6,3,0,0,2,4,0,2,54
2,26645,Shepparton United,12,Timothy Looby,6,1,7,2,3,0,0,0,0,1,1,29
2,26645,Shepparton United,18,Jordan Wiggins,6,1,7,2,5,0,0,2,0,0,0,29
2,26645,Shepparton United,59,David O'Dwyer,6,6,12,8,2,3,0,0,2,5,0,95
2,26645,Euroa,10,Jack Mckernan,6,2,8,2,2,3,0,0,0,0,0,23
2,26645,Euroa,28,Nicholas Asquith,6,5,11,2,3,1,0,1,4,0,2,58
2,26645,Euroa,15,Zac Gleeson,6,4,10,3,6,1,0,1,1,0,0,38
2,26645,Shepparton United,62,Jack Supple,6,6,12,7,3,1,0,2,2,1,0,50
2,26645,Euroa,1,Max Gleeson,5,12,17,10,4,1,0,0,7,4,0,72
2,26645,Euroa,43,Nic Burke,5,4,9,2,3,0,0,0,2,0,0,33
2,26645,Shepparton United,23,Sam McInneny,4,2,6,1,3,1,2,0,1,0,0,31
2,26645,Shepparton United,26,Jensen Dowling,3,3,6,7,1,0,1,0,2,2,0,36
2,26645,Shepparton United,17,Kale Gibson,3,3,6,1,2,1,2,0,0,0,0,26
2,26645,Euroa,8,Keily Jager,3,2,5,4,3,1,1,2,0,0,0,39
2,26645,Euroa,16,Mitchell Walters,3,1,4,4,0,1,0,1,2,0,0,11
2,26645,Euroa,26,Hugh Bailey,3,5,8,4,1,0,0,3,2,4,0,50
2,26645,Euroa,47,Joshua Robertson,3,3,6,3,1,1,0,0,2,0,0,15
2,26645,Euroa,33,Henry Thomas,3,6,9,5,2,1,0,1,2,1,0,42
2,26645,Euroa,41,Nicholas McCabe,3,4,7,0,5,0,3,0,2,0,0,39
2,26645,Shepparton United,27,Declan Newbound,2,3,5,1,2,0,1,2,2,1,0,30
2,26645,Shepparton United,24,Zane Chalcraft,1,1,2,2,0,1,0,0,2,0,1,21
2,26645,Euroa,4,Will Creevey,0,1,1,0,0,0,1,1,1,0,0,6
2,26645,Euroa,35,Lachlan Curran,0,2,2,0,0,0,0,0,2,0,0,11
3,26654,Shepparton United,33,Jordan Haynes,22,8,30,19,5,6,5,1,4,10,0,129
3,26654,Shepparton United,5,Jesse Cucinotta,21,2,23,6,8,4,4,5,4,0,0,129
3,26654,Shepparton Swans,3,Adam Fichera,21,4,25,4,6,1,10,0,5,1,0,115
3,26654,Shepparton United,11,Brodie Newman,19,8,27,10,9,1,8,5,0,0,0,152
3,26654,Shepparton Swans,2,Oliver Warburton,19,6,25,9,8,6,3,0,5,7,1,107
3,26654,Shepparton Swans,35,Enrique Goggin,19,6,25,8,9,5,3,7,1,1,0,141
3,26654,Shepparton United,8,Mitchell Trevaskis,17,3,20,5,9,4,3,2,1,0,0,97
3,26654,Shepparton Swans,44,Xavier Janke,17,8,25,3,10,1,3,2,3,1,0,99
3,26654,Shepparton United,17,Kale Gibson,15,2,17,2,8,0,5,3,2,0,1,86
3,26654,Shepparton Swans,13,Lucas Rachele,15,7,22,4,9,1,7,3,7,0,0,110
3,26654,Shepparton United,18,Jordan Wiggins,14,4,18,6,8,0,7,4,1,0,0,94
3,26654,Shepparton Swans,36,Christian Georgiou,14,5,19,6,7,5,0,5,6,3,1,103
3,26654,Shepparton United,3,Joel Serra,13,12,25,16,5,6,1,0,2,8,0,98
3,26654,Shepparton United,10,Matthew Casey,12,0,12,8,4,4,0,1,0,3,2,54
3,26654,Shepparton United,15,Liam Serra,12,9,21,9,8,3,1,2,8,1,2,116
3,26654,Shepparton Swans,4,Max Clohesy,12,12,24,17,6,3,4,5,10,5,0,132
3,26654,Shepparton Swans,14,Zac Clohesy,12,5,17,3,6,0,4,6,2,0,0,89
3,26654,Shepparton United,4,Kaedyn Napier,11,3,14,8,9,3,1,2,3,0,0,80
3,26654,Shepparton United,7,Angus Hicks,11,11,22,11,3,6,1,2,8,10,0,120
3,26654,Shepparton Swans,24,Flynn Grumley,11,12,23,11,4,4,4,2,2,2,0,111
3,26654,Shepparton Swans,45,Kade Thomas,11,1,12,1,7,2,1,0,0,1,0,36
3,26654,Shepparton United,62,Jack Supple,10,8,18,6,3,3,4,4,3,3,1,82
3,26654,Shepparton Swans,27,Kade Anderson,9,7,16,9,3,2,2,2,4,4,0,76
3,26654,Shepparton Swans,38,Harper Simpson,9,1,10,7,2,0,0,4,5,0,3,78
