Number,Name,Games,K,HB,D,CP,M,I50,R50,1%,T,Cl,G,RP
30,Stuart Horner,1,21.0,21.0,42.0,16.0,12.0,5.0,2.0,2.0,5.0,11.0,0.0,186.0
7,Angus Hicks,15,17.6,10.9,28.5,11.4,4.1,5.5,1.7,1.9,5.9,6.9,0.8,123.3
13,Zavier Maher,7,17.6,12.1,29.7,17.0,4.4,8.3,1.7,1.6,5.9,10.1,1.4,145.9
5,Jesse Cucinotta,17,16.3,5.8,22.1,6.1,6.1,3.6,2.0,2.4,3.0,2.3,0.1,88.2
11,Brodie Newman,16,15.9,5.2,21.1,7.0,11.0,1.1,4.1,4.1,1.1,0.1,0.2,126.2
4,Kaedyn Napier,18,15.6,5.5,21.1,6.3,8.7,1.9,3.8,2.5,2.2,1.3,0.2,104.9
33,Jordan Haynes,14,15.4,10.4,25.8,11.4,6.4,4.8,1.9,2.4,6.6,6.0,0.1,116.1
30,Michael Barlow,4,15.0,16.5,31.5,14.8,6.0,2.5,2.5,1.0,2.5,9.0,0.5,125.5
15,Liam Serra,18,14.7,7.6,22.3,6.9,9.6,3.9,0.4,1.3,2.8,0.5,1.6,102.7
3,Joel Serra,17,12.7,13.3,26.0,12.7,3.9,3.6,1.6,1.6,3.8,7.1,0.3,103.8
1,Fraser Hicks,14,11.1,5.6,16.8,3.4,4.0,0.8,3.0,0.9,1.9,0.4,0.0,61.1
45,Jimmy Holding,1,11.0,5.0,16.0,5.0,7.0,4.0,2.0,1.0,3.0,2.0,1.0,81.0
17,Kale Gibson,17,10.6,4.0,14.6,2.8,5.2,1.5,1.9,1.8,1.7,0.4,0.3,60.0
18,Jordan Wiggins,18,9.9,4.3,14.3,3.3,6.2,0.4,2.8,1.8,1.0,0.4,0.0,67.3
10,Matthew Casey,18,9.8,1.2,11.0,5.6,5.4,2.1,0.1,0.4,1.0,0.7,3.3,69.4
8,Mitchell Trevaskis,17,9.3,5.4,14.7,3.6,6.0,1.1,1.9,1.3,1.6,0.5,0.1,62.4
62,Jack Supple,5,8.2,5.2,13.4,4.8,3.2,1.8,1.2,1.8,2.4,1.2,0.4,50.0
14,Sheldon Bogdan,18,8.0,10.1,18.1,9.0,3.3,2.6,0.7,1.1,5.3,4.1,0.0,76.1
36,Nathan Ferrier,2,8.0,4.0,12.0,3.0,6.0,0.5,1.0,0.0,0.0,0.0,0.5,47.5
28,Nicholas Loverso,12,7.7,3.9,11.6,3.6,4.2,1.9,0.8,1.2,2.6,0.5,0.0,50.1
23,Sam McInneny,18,7.6,3.2,10.7,3.2,4.8,1.7,0.6,0.7,1.5,0.2,0.8,51.4
42,Jordan Loverso,17,7.5,3.4,10.9,4.4,4.0,2.6,0.0,1.5,4.4,0.5,0.7,53.6
16,Mitchell Serra,13,7.2,5.0,12.2,3.1,4.2,2.2,0.8,1.4,1.5,0.4,0.2,54.2
27,Declan Newbound,17,7.0,3.6,10.6,2.9,4.4,0.6,1.4,2.2,1.6,0.1,0.0,50.6
33,Lucas O'Hara,1,7.0,2.0,9.0,2.0,3.0,3.0,0.0,1.0,1.0,0.0,0.0,38.0
21,Caiden Phillips,11,6.7,3.5,10.3,2.7,3.4,0.7,1.3,3.8,2.1,0.3,0.0,53.0
12,Timothy Looby,16,6.1,1.6,7.7,2.9,3.8,1.1,0.0,0.4,0.4,0.3,1.1,43.2
32,Blake Sofra,4,5.8,5.2,11.0,6.0,2.2,1.5,0.2,1.5,2.0,1.2,0.2,44.5
26,Jensen Dowling,18,5.2,5.2,10.4,6.7,1.8,1.5,0.9,1.7,1.4,3.4,0.4,88.7
59,David O'Dwyer,4,4.5,3.5,8.0,6.8,0.5,2.0,0.2,0.5,1.5,5.0,0.0,71.0
45,Nate Warrin,3,4.3,2.0,6.3,3.3,2.7,1.7,0.7,2.0,2.3,0.3,0.7,41.3
9,Jayedon Hexter,4,4.2,1.8,6.0,3.5,2.5,0.5,0.0,1.8,2.0,0.2,1.0,35.2
39,Connor Hayes,4,4.0,3.8,7.8,3.2,2.0,0.5,0.8,0.5,0.8,0.0,0.0,28.2
43,Nate Yze,1,4.0,4.0,8.0,5.0,1.0,2.0,0.0,0.0,4.0,0.0,1.0,47.0
