Opponent,Round,Result,D,K,HB,CP,TGB,HBG,LBG,IP,GTH,HR,M,CM,UM,IM,MI50,RP,HO,HOA,Cl,CC,BUC,TIC,I50,R50,FF,KI,1%,TO,BTO,MTO,FTO,PR,PRA,Ch,Sm,Sp,PRF,T,TE,FTKL,MTKL,BTKL,G,B,RB,SE%,SS,GA%,DE%,I50%,K%,H%,C%,R50%,KI%,KE,HE,ED,EFFC,EFFR
Shepparton Bears,01,L,343,214,129,128,82,23,59,74,65,12,103,7,96,13,14,1597,50,13,39,9,17,13,45,32,22,4,38,76,5,48,23,103,23,14,2,17,5,64,51,4,50,10,15,6,2,51,23,65,64,51,61,69,72,47,75,131,90,221,28,15
Euroa,02,W,264,154,110,92,61,30,31,50,31,11,72,10,62,15,8,1146,23,5,23,5,13,5,28,31,13,11,33,52,4,39,9,87,19,11,2,10,2,55,42,9,27,19,7,6,1,50,14,50,67,61,57,80,61,55,45,88,88,176,14,17
Shepparton Swans,03,W,333,220,113,113,74,23,51,76,50,10,104,12,92,10,11,1585,30,4,38,6,22,10,52,44,19,11,53,74,4,43,27,153,58,12,4,22,12,79,62,10,50,19,6,9,3,34,18,33,66,42,60,76,55,52,100,133,86,219,21,23
Mooroopna,04,L,340,202,138,136,75,23,52,68,56,15,86,10,76,8,6,1427,39,8,50,10,19,21,38,42,19,10,33,83,6,56,21,101,29,9,9,14,2,54,46,6,31,17,10,4,1,39,15,66,65,32,52,84,54,55,60,106,116,222,27,23
Mansfield,05,L,309,192,117,125,78,15,63,68,28,10,80,14,66,15,14,1480,27,4,40,16,14,10,51,31,29,13,38,65,2,45,18,112,41,13,3,13,8,55,42,8,40,7,17,14,0,60,31,54,70,59,60,86,63,61,69,115,101,216,25,19
Echuca,06,L,346,217,129,130,79,28,51,56,46,12,102,13,89,16,11,1650,64,12,49,8,25,16,42,34,15,12,35,66,1,44,21,118,25,6,10,16,2,77,51,14,56,7,15,6,1,52,22,68,68,55,65,75,55,47,75,140,97,237,27,16
Tatura,07,W,268,174,94,98,57,18,39,57,34,7,84,15,69,13,8,1131,38,2,31,11,9,11,33,40,12,14,28,69,12,40,17,91,37,12,5,11,11,37,24,8,19,10,5,5,1,33,11,45,65,33,57,79,45,65,71,99,75,174,14,26
Kyabram,08,W,327,231,96,108,55,23,32,61,77,5,105,15,90,13,7,1540,33,4,41,13,16,12,47,38,12,19,48,63,4,38,21,123,39,11,7,20,6,66,47,16,40,10,11,7,0,38,18,61,68,43,65,75,68,66,74,151,72,223,28,25
Benalla,09,W,266,152,114,111,64,27,37,68,41,9,61,9,52,9,7,1179,46,5,32,10,14,8,30,39,27,10,62,77,12,46,19,128,43,24,4,26,6,57,36,4,36,17,6,3,1,33,10,60,66,47,59,74,53,64,60,90,85,175,17,25
Seymour,10,L,275,172,103,113,58,26,32,56,57,9,64,10,54,9,7,1278,56,8,49,8,25,16,37,40,22,15,49,76,8,43,25,122,45,13,1,26,9,63,47,10,31,22,9,6,1,43,16,56,63,35,53,78,47,38,73,91,81,172,23,15
Rochester,11,L,331,211,120,142,87,42,45,65,48,17,89,13,76,16,13,1593,43,8,52,8,30,14,56,31,24,12,47,86,4,44,38,150,46,15,8,19,11,81,64,13,48,20,12,10,1,41,23,52,65,45,59,75,46,74,100,124,91,215,24,23
Euroa,12,W,319,197,122,129,89,32,57,59,26,1,96,9,87,11,17,1486,18,2,33,6,13,14,39,34,17,10,54,62,5,38,19,138,55,17,8,20,6,58,43,8,32,18,6,13,3,56,22,27,71,62,66,78,70,68,90,130,96,226,23,23
Shepparton Bears,13,L,333,200,133,137,85,35,50,83,30,5,91,14,77,17,18,1516,41,8,38,7,20,11,49,35,23,7,22,80,3,48,29,125,41,11,2,7,8,71,64,21,40,10,9,8,2,38,19,47,66,55,60,75,50,71,86,120,101,221,19,25
Shepparton Swans,14,W,346,229,117,129,86,29,57,71,44,10,108,16,92,20,14,1573,30,7,46,12,22,12,36,44,16,12,49,81,2,60,19,146,54,17,3,9,6,72,54,9,49,14,9,10,0,52,19,47,64,42,59,72,61,59,83,135,85,220,28,26
Mooroopna,15,L,297,191,106,143,85,22,63,71,41,6,59,6,53,5,7,1462,63,12,43,7,26,10,44,45,35,12,50,67,6,43,18,146,38,17,5,18,6,86,55,17,49,20,12,14,1,61,27,44,60,36,51,74,56,36,67,98,79,177,24,16
Tatura,16,W,312,209,103,104,75,16,59,60,33,7,107,7,100,21,2,1380,31,8,37,13,15,9,20,41,10,16,50,75,9,57,9,122,28,25,3,19,2,66,50,3,51,12,5,4,1,50,10,50,68,50,61,81,54,59,63,128,84,212,20,24
Echuca,17,L,413,235,178,145,101,24,77,63,53,7,92,10,82,10,26,1936,40,9,59,20,25,14,62,30,16,11,44,75,8,37,30,122,46,9,3,24,7,64,54,10,37,17,27,6,3,58,36,75,73,61,66,83,78,73,73,154,149,303,46,22
Mansfield,18,W,296,183,113,137,78,22,56,62,34,13,84,22,62,17,14,1608,49,18,49,16,20,13,52,28,24,5,38,62,6,30,26,149,60,6,6,13,16,77,61,19,41,17,14,12,3,55,29,48,68,52,61,78,61,57,100,112,89,201,30,16
