Opponent,Round,Result,D,K,HB,CP,TGB,HBG,LBG,IP,GTH,HR,M,CM,UM,IM,MI50,RP,HO,HOA,Cl,CC,BUC,TIC,I50,R50,FF,KI,1%,TO,BTO,MTO,FTO,PR,PRA,Ch,Sm,Sp,PRF,T,TE,FTKL,MTKL,BTKL,G,B,RB,SE%,SS,GA%,DE%,I50%,K%,H%,C%,R50%,KI%,KE,HE,ED,EFFC,EFFR
Shepparton Bears,01,L,-45,-30,-15,-6,-19,-4,-15,-7,2,-5,-26,5,-31,2,-6,-406,7,-4,6,-1,3,4,-8,-3,-6,4,-10,6,2,0,4,-24,-6,0,0,-7,-1,-18,-14,0,-16,-2,-10,-2,-2,-27,-14,-10,-4,-16,-9,5,-16,15,0,-36,-5,-41,-3,3
Euroa,02,W,7,28,-21,21,-8,-15,7,0,12,-6,14,9,5,-3,7,138,26,5,13,5,7,1,14,-11,3,-4,-14,4,-1,-5,10,-6,8,-2,1,-4,4,-13,-6,2,-3,-12,4,2,2,2,8,0,3,8,8,-1,3,25,55,31,-17,14,9,-1
Shepparton Swans,03,W,11,10,1,45,17,11,6,-7,8,-8,4,2,2,11,0,113,47,14,15,1,5,9,1,0,-3,1,-13,6,0,5,1,-22,5,3,-4,-7,0,-26,-13,9,-23,-12,2,1,-2,1,1,9,1,11,6,-8,2,23,-8,19,-8,11,9,10
Mooroopna,04,L,-7,-2,-5,-4,13,4,9,11,-10,-7,0,4,-4,4,6,3,16,-2,-16,-3,-2,-11,11,-15,4,-5,0,-13,-1,-22,10,-2,-9,6,0,-8,-2,1,4,2,9,-10,-2,3,2,-3,3,-22,0,3,5,-9,5,4,20,9,-16,-7,-7,-7
Mansfield,05,L,44,48,-4,-11,-5,9,-14,-6,14,1,58,2,56,2,1,36,18,0,-5,-3,-3,1,-9,2,-11,1,-11,6,2,3,1,-43,-18,-3,2,-2,-4,-24,-14,-5,-18,-1,-6,-3,2,-3,-7,-9,1,3,8,-9,-3,3,24,48,-13,35,-4,2
Echuca,06,L,-2,17,-19,3,0,1,-1,9,-10,-10,24,7,17,3,3,-65,-20,-6,-9,-2,-3,-4,0,-7,3,-5,-7,-2,4,-1,-5,-30,-7,-2,-4,-1,-1,-17,-12,-13,-20,16,-7,1,4,-5,-2,-28,0,-10,-3,7,-2,9,-4,4,-6,-2,-6,-1
Tatura,07,W,157,99,58,39,30,6,24,10,16,2,77,4,73,6,21,957,6,6,11,-1,9,3,30,-12,4,-8,1,-10,-8,-17,15,7,-17,-3,-1,-1,-2,28,23,10,15,3,15,9,0,22,24,12,12,19,15,7,43,14,12,98,57,155,23,-4
Kyabram,08,W,32,-12,44,-1,13,8,5,0,-16,5,4,-5,9,1,11,117,14,3,4,-2,4,2,1,-1,4,-12,24,0,0,3,-3,-22,1,7,-4,10,-4,-26,-14,-12,-12,-2,-1,7,5,22,11,-27,1,5,-1,2,-8,4,12,-11,37,26,-1,1
Benalla,09,W,140,110,30,-8,0,3,-3,8,22,2,88,-1,89,5,14,753,-7,6,6,6,1,-1,31,-15,-6,-6,-20,-9,-10,-16,17,-16,-1,-19,-1,-5,3,5,9,11,7,-13,16,3,3,19,22,8,15,15,19,11,21,28,40,115,38,153,11,-3
Seymour,10,L,81,53,28,-8,4,4,0,18,17,-6,54,0,54,8,9,355,-12,-1,-6,0,0,-6,9,-12,-3,-8,8,-15,-5,-8,-2,3,-7,8,1,-4,-3,1,2,7,6,-12,-4,9,0,2,5,-33,4,24,14,-11,27,26,13,59,8,67,9,3
Rochester,11,L,-20,8,-28,-11,-16,-15,-1,15,-12,-10,10,5,5,3,-3,-178,20,3,-19,-1,-9,-9,-20,14,0,-2,-16,-17,0,3,-20,-33,-1,2,-6,-9,-8,-28,-21,-2,-25,-1,-8,-1,2,3,-7,-27,-7,-1,-6,-7,-1,-18,-40,-7,-28,-35,-9,2
Euroa,12,W,54,51,3,-13,-20,-11,-9,1,25,9,40,8,32,9,7,233,46,10,7,3,7,-3,8,-3,-5,5,-14,1,2,-2,1,-35,-21,3,-7,-16,4,-10,-9,-1,3,-12,7,-6,0,-8,1,29,1,-2,1,3,-15,6,-17,35,6,41,-1,0
Shepparton Bears,13,L,-20,-18,-2,-4,6,7,-1,-7,8,-2,-25,-3,-22,0,-12,-192,10,5,8,0,5,3,-10,3,0,3,9,3,6,-2,-1,-5,-2,2,2,6,2,-7,-13,-12,-2,7,-5,-3,1,-8,-7,-14,-6,-17,-10,-2,11,-13,-16,-29,-5,-34,9,-3
Shepparton Swans,14,W,16,6,10,22,2,7,-5,6,22,-7,-14,0,-14,-3,-2,154,34,9,2,3,-3,2,27,-19,3,-2,-16,-5,3,-14,6,-49,-30,-7,2,1,-4,-14,-7,3,-7,-10,10,-1,3,-3,12,14,3,12,3,4,-7,1,-13,10,12,22,-2,-11
Mooroopna,15,L,49,19,30,20,18,12,6,-4,5,2,30,12,18,12,2,139,-6,0,7,4,-5,8,9,-15,-14,3,-5,8,2,-5,11,3,16,-5,0,0,5,-8,0,-1,2,-9,-4,-3,0,-24,-7,-4,7,13,12,-2,-16,17,20,35,19,54,-4,0
Tatura,16,W,128,83,45,38,13,16,-3,13,17,11,61,7,54,-1,27,753,37,15,-2,-2,4,-4,43,-26,5,-11,-23,-12,-8,-25,21,-28,0,-12,-2,-11,4,-14,-7,8,-13,-9,18,9,2,11,29,8,12,6,14,7,20,21,37,91,47,138,6,-12
Echuca,17,L,-112,-52,-60,-36,-28,-2,-26,7,-13,0,-12,-4,-8,7,-16,-519,42,9,-22,-7,-10,-5,-24,3,-1,-2,-2,-9,1,3,-13,-8,-5,6,-3,0,-3,-6,-11,-3,-2,-1,-17,2,0,-3,-15,-28,-10,-16,-9,-12,-16,-25,16,-49,-65,-114,-23,-6
Mansfield,18,W,64,37,27,15,14,12,2,-5,13,-4,14,-6,20,-1,-1,161,13,3,3,-5,6,2,-4,12,-4,9,-8,4,0,3,1,-33,-19,2,-3,1,-7,-13,-10,-8,-10,5,5,-7,-3,-5,-5,31,2,2,4,-1,8,0,-14,31,20,51,6,7
