Opponent,Round,Result,D,K,HB,CP,TGB,HBG,LBG,IP,GTH,HR,M,CM,UM,IM,MI50,RP,HO,HOA,Cl,CC,BUC,TIC,I50,R50,FF,KI,1%,TO,BTO,MTO,FTO,PR,PRA,Ch,Sm,Sp,PRF,T,TE,FTKL,MTKL,BTKL,G,B,RB,SE%,SS,GA%,DE%,I50%,K%,H%,C%,R50%,KI%,KE,HE,ED,EFFC,EFFR
Shepparton Bears,01,L,298,184,114,122,63,19,44,67,67,7,77,12,65,15,8,1191,57,9,45,8,20,17,37,29,16,8,28,82,7,48,27,79,17,14,2,10,4,46,37,4,34,8,5,4,0,24,9,55,60,35,52,74,56,62,75,95,85,180,25,18
Euroa,02,W,271,182,89,113,53,15,38,50,43,5,86,19,67,12,15,1284,49,10,36,10,20,6,42,20,16,7,19,56,3,34,19,81,27,9,3,6,6,42,36,11,24,7,11,8,3,52,22,50,70,69,65,79,64,80,100,119,71,190,23,16
Shepparton Swans,03,W,344,230,114,158,91,34,57,69,58,2,108,14,94,21,11,1698,77,18,53,7,27,19,53,44,16,12,40,80,4,48,28,131,63,15,0,15,12,53,49,19,27,7,8,10,1,35,19,42,67,53,66,68,57,75,92,152,78,230,30,33
Mooroopna,04,L,333,200,133,132,88,27,61,79,46,8,86,14,72,12,12,1430,55,6,34,7,17,10,49,27,23,5,33,70,5,34,31,99,20,15,9,6,0,55,50,8,40,7,8,7,3,36,18,44,65,35,57,75,59,59,80,115,100,215,20,16
Mansfield,05,L,353,240,113,114,73,24,49,62,42,11,138,16,122,17,15,1516,45,4,35,13,11,11,42,33,18,14,27,71,4,48,19,69,23,10,5,11,4,31,28,3,22,6,11,11,2,57,24,45,71,62,68,77,60,64,93,163,88,251,21,21
Echuca,06,L,344,234,110,133,79,29,50,65,36,2,126,20,106,19,14,1585,44,6,40,6,22,12,42,27,18,7,28,64,5,43,16,88,18,4,6,15,1,60,39,1,36,23,8,7,5,47,20,40,68,45,62,82,53,56,71,144,91,235,21,15
Tatura,07,W,425,273,152,137,87,24,63,67,50,9,161,19,142,19,29,2088,44,8,42,10,18,14,63,28,16,6,29,59,4,23,32,98,20,9,4,10,9,65,47,18,34,13,20,14,1,55,35,57,77,52,72,86,88,79,83,197,132,329,37,22
Kyabram,08,W,359,219,140,107,68,31,37,61,61,10,109,10,99,14,18,1657,47,7,45,11,20,14,48,37,16,7,72,63,4,41,18,101,40,18,3,30,2,40,33,4,28,8,10,14,5,60,29,34,69,48,64,77,60,70,86,140,109,249,27,26
Benalla,09,W,406,262,144,103,64,30,34,76,63,11,149,8,141,14,21,1932,39,11,38,16,15,7,61,24,21,4,42,68,2,30,36,112,42,5,3,21,9,62,45,15,43,4,22,6,4,52,32,68,81,62,78,85,74,92,100,205,123,328,28,22
Seymour,10,L,356,225,131,105,62,30,32,74,74,3,118,10,108,17,16,1633,44,7,43,8,25,10,46,28,19,7,57,61,3,35,23,125,38,21,2,22,6,64,49,17,37,10,5,15,1,45,21,23,67,59,67,67,74,64,86,150,89,239,32,18
Rochester,11,L,311,219,92,131,71,27,44,80,36,7,99,18,81,19,10,1415,63,11,33,7,21,5,36,45,24,10,31,69,4,47,18,117,45,17,2,10,3,53,43,11,23,19,4,9,3,44,16,25,58,44,53,68,45,56,60,117,63,180,15,25
Euroa,12,W,373,248,125,116,69,21,48,60,51,10,136,17,119,20,24,1719,64,12,40,9,20,11,47,31,12,15,40,63,7,36,20,103,34,20,1,4,10,48,34,7,35,6,13,7,3,48,23,56,72,60,67,81,55,74,73,165,102,267,22,23
Shepparton Bears,13,L,313,182,131,133,91,42,49,76,38,3,66,11,55,17,6,1324,51,13,46,7,25,14,39,38,23,10,31,83,9,46,28,120,39,13,4,13,10,64,51,9,38,17,4,5,3,30,12,33,60,38,50,73,61,58,70,91,96,187,28,22
Shepparton Swans,14,W,362,235,127,151,88,36,52,77,66,3,94,16,78,17,12,1727,64,16,48,15,19,14,63,25,19,10,33,76,5,46,25,97,24,10,5,10,2,58,47,12,42,4,19,9,3,49,31,61,67,54,62,76,54,60,70,145,97,242,26,15
Mooroopna,15,L,346,210,136,163,103,34,69,67,46,8,89,18,71,17,9,1601,57,12,50,11,21,18,53,30,21,15,45,75,8,38,29,149,54,12,5,18,11,78,55,16,51,11,8,11,1,37,20,40,67,49,63,72,40,53,87,133,98,231,20,16
Tatura,16,W,440,292,148,142,88,32,56,73,50,18,168,14,154,20,29,2133,68,23,35,11,19,5,63,15,15,5,27,63,1,32,30,94,28,13,1,8,6,52,43,11,38,3,23,13,3,61,39,58,80,56,75,88,74,80,100,219,131,350,26,12
Echuca,17,L,301,183,118,109,73,22,51,70,40,7,80,6,74,17,10,1417,82,18,37,13,15,9,38,33,15,9,42,66,9,40,17,114,41,15,0,24,4,58,43,7,35,16,10,8,3,55,21,47,63,45,57,71,62,48,89,105,84,189,23,16
Mansfield,18,W,360,220,140,152,92,34,58,57,47,9,98,16,82,16,13,1769,62,21,52,11,26,15,48,40,20,14,30,66,6,33,27,116,41,8,3,14,9,64,51,11,31,22,19,5,0,50,24,79,70,54,65,77,69,57,86,143,109,252,36,23
