Stat Type,For,Against,Differential
Back Turnovers,5.0,5.6,-0.6
Ball Up Clearances,20.1,19.2,0.9
Behinds,9.1,7.9,1.2
Centre Clearances,10.0,10.3,-0.3
Chases,12.7,13.4,-0.7
Clearances,41.8,41.6,0.2
Effective Clearances,25.6,24.3,1.3
Clearance %,61.0,58.0,3.0
Contested Possessions,128.9,123.3,5.6
Contested Marks,14.3,11.8,2.5
Disposals,349.7,317.7,32.0
Effective Disposals,241.3,211.7,29.6
Total Disposal %,69.0,66.0,3.0
Forward Turnovers,24.6,21.6,3.0
Frees For,18.2,19.7,-1.5
Gathers,50.8,44.1,6.7
Goals,11.6,10.8,0.8
Goal Accuracy,50.0,53.0,-3.0
Total Groundball Gets,77.9,76.1,1.8
Handball Receives,7.4,9.2,-1.8
Handballs,125.4,118.6,6.8
Effective Handballs,97.0,92.5,4.5
Handball %,77.0,77.0,0.0
Hard Ball Gets,28.4,25.4,3.0
Hit Outs,56.2,40.1,16.1
Hit Outs to Advantage,11.8,7.6,4.2
Inside 50s,48.3,42.3,6.0
Inside 50s Effective,25.0,20.4,4.6
Fwd 50 Entry %,51.0,48.0,3.0
Intercept Marks,16.8,13.2,3.6
Kicks,224.3,199.1,25.2
Effective Kicks,144.3,119.2,25.1
Kick Ins,9.2,11.3,-2.1
KickIns Effective,7.6,8.4,-0.8
Kick In %,82.0,75.0,7.0
Kick %,64.0,59.0,5.0
Loose Ball Gets,49.6,50.6,-1.0
Marks,110.4,88.2,22.2
Marks Inside 50,15.1,11.3,3.8
Uncontested Marks,96.1,76.4,19.7
Midfield Turnovers,39.0,44.4,-5.4
1%ers,36.3,42.8,-6.5
Intercept Possessions,68.3,64.9,3.4
Pressure Acts,34.1,40.4,-6.3
Pressure Acts Forward,6.0,6.9,-0.9
Overall Pressure,105.2,103.8,1.4
Ranking Points,"1,617.7","1,475.9",141.8
Rebound 50s,30.8,36.6,-5.8
Effective Rebound 50s,19.9,21.1,-1.2
Def 50 Exit %,64.0,58.0,6.0
Rushed Behinds,2.4,1.4,1.0
Back Turnovers,1.1,1.3,-0.2
Behinds From Back Turnovers,1.7,1.3,0.4
Ball Ups,1.9,1.4,0.5
Behinds From Ball Ups,2.9,1.8,1.1
Center Bounces,1.2,0.8,0.4
Behinds From Center Bounces,0.6,0.8,-0.2
Deep Inside50s,4.0,3.1,0.9
Behinds From Deep Inside50s,3.5,2.3,1.2
F50 Turnovers,1.2,1.3,-0.1
Behinds From F50 Turnovers,1.1,0.9,0.2
Scores From Inside50s,11.3,10.4,0.9
Behinds From Inside50s,11.1,9.1,2.0
Scores From Kick Ins,0.5,0.3,0.2
Behinds From Kick Ins,0.4,0.4,0.0
Marks Inside 50,6.0,4.0,2.0
Marks Inside50 Deep,3.5,1.6,1.9
Behinds From Marks Inside50 Deep,0.7,0.6,0.1
Marks Inside50 Shallow,2.5,2.4,0.1
Marks Inside50 Shallow,3.1,2.4,0.7
Behinds From Marks Inside 50,3.8,3.0,0.8
Mid Turnovers,4.7,3.8,0.9
Behinds From Mid Turnovers,3.8,3.3,0.5
Shallow Inside50s,7.3,7.4,-0.1
Behinds From Shallow Inside50s,7.6,6.8,0.8
Scores From Stoppages,3.9,4.1,-0.2
Behinds From Stoppages,4.5,3.4,1.1
Throw Ins,0.8,1.8,-1.0
Behinds From Throw Ins,1.0,0.8,0.2
Turnovers,7.1,6.4,0.7
Behinds From Turnovers,6.6,5.5,1.1
Scoring Efficiency,47.0,47.0,0.0
Scoring Shots,23.1,20.2,2.9
Smothers,3.2,4.7,-1.5
Spoils,13.7,16.9,-3.2
Tackles,55.2,65.7,-10.5
Back 50 Tackles,10.6,14.8,-4.2
Tackles Eff,43.3,49.6,-6.3
Forward 50 Tackles,10.2,10.5,-0.3
Midfield Tackles,34.3,40.4,-6.1
Throw In Clearances,11.7,12.2,-0.5
Turnovers,68.6,71.6,-3.0
